Name,MouthX,MouthY,EyeX,EyeY,PalSwapOf,NoMini
Roy,2,6,3,4,,
Marcus,2,5,2,3,,
Alen,2,5,3,3,,
Lance,2,5,3,3,,
Wolt,2,6,3,4,,
Bors,2,4,3,2,,
Merlinus,2,5,2,3,,
Elen,2,6,3,4,,
Dieck,2,5,2,3,,
Ward,2,5,2,3,,
Lot,2,5,3,3,,
Shanna,2,6,3,4,,
Chad,2,6,3,4,,
Lugh,2,6,3,4,,
Clarine,2,6,3,4,,
Rutger,2,5,2,3,,
Saul,2,5,3,3,,
Dorothy,2,5,3,3,,
Sue,2,5,3,3,,
Zelot,2,5,3,3,,
Trec,2,5,3,3,,
Noah,2,5,3,3,,
Astolfo,2,5,2,3,,
Lilina,2,6,3,4,,
Barthe,2,4,2,2,,
Ogier,2,6,3,4,,
Gwendolyn,2,6,3,4,,
Fir,2,6,3,4,,
Sin,2,5,3,3,,
Geese,2,5,3,3,,
Gonzalez,2,5,2,3,,
Klein,2,5,3,3,,
Thea,2,5,3,4,,
Larum,2,6,3,4,,
Elffin,2,5,2,3,,
Echidna,2,5,3,3,,
Bartre,2,5,2,2,,
Raigh,2,6,3,4,,
Cath,2,6,3,4,,
Melady,2,5,4,3,,
Perceval,2,5,2,3,,
Cecilia,2,5,3,3,,
Sophia,2,6,3,4,,
Igrene,2,5,3,3,,
Garrett,2,4,3,2,,
Fae,3,7,3,5,,
Hugh,2,5,3,3,,
Zeiss,2,5,2,3,,
Douglas,2,5,3,3,,
Niime,2,6,2,4,,
Juno,2,5,3,3,,
Dayan,2,5,3,3,,
Yoder,2,5,3,3,,
Karel,2,5,3,3,,
Hector,2,5,3,2,,
Eliwood,2,5,3,3,,
Guinivere,3,6,3,4,,
Damas,2,5,2,3,,
Ruud,3,5,4,3,,
Slater,3,5,3,3,,
Erik,2,5,3,3,,
Dory,2,5,3,3,,
Wagner,2,6,3,4,,
Debias,2,5,2,3,,
Legance,2,5,2,3,,
Henning,2,5,3,3,,
Scott,2,5,3,3,,
Nord,2,6,3,4,Wagner,
Orlo,3,5,3,3,,
Roberts,2,5,3,3,,
Zinque,2,5,3,3,,
Scollan,2,5,2,3,,
Morgan,2,5,2,3,Legance,
Ein,2,5,3,3,,
Guerrero,2,5,3,3,,
Flaer,2,5,3,3,,
Randy,2,5,3,3,Henning,
Maggie,2,5,3,3,Scott,
Rose,2,5,3,3,Scott,
Oates,2,6,2,4,Peres,
Raith,2,5,3,3,,
Narcian,2,5,3,3,,
Windham,3,5,3,3,Orlo,
Arcardo,2,5,3,3,,
Martel,3,5,3,3,Orlo,
Sigune,2,5,3,3,,
Roartz,2,5,2,3,,
Tick,2,5,3,3,Raith,
Monke,2,5,3,3,,
Kel,2,5,3,3,,
SacaeGaidenBosses,2,5,3,3,Monke,
Galle,2,5,3,3,,
Murdock,2,4,3,2,,
Peres,2,6,2,4,,
Zephiel,4,4,4,2,,
Brunnya,2,5,3,3,,
Jahn,3,5,3,3,,
IdunnHuman,2,6,3,4,,
IdunnDragon,2,10,3,4,,
Anna,2,5,3,3,,True
Armory,3,2,0,0,,True
Vendor,3,3,0,0,,True
Arena,3,2,0,0,,True
SecretShop,3,3,0,0,,
BanditKid,2,6,2,4,,
IdunnHood,2,6,3,4,,
HectorBlood,2,5,3,2,,True
Mordred,3,6,4,4,,True
GenericPegasusKnight,2,6,3,4,,True
Priest,2,5,2,3,,True
SacaeanVillager,2,6,3,4,,True
Soldier1,4,6,4,4,,True
Soldier2,4,6,4,4,Soldier1,True
Soldier3,4,6,4,4,Soldier1,True
Soldier4,4,6,4,4,Soldier1,True
Soldier5,4,6,4,4,Soldier1,True
Soldier6,4,6,4,4,Soldier1,True
Soldier7,4,6,4,4,Soldier1,True
Mary,2,5,3,3,,True
Mieu,2,7,3,5,,True
Villager1,2,6,3,4,,True
Villager2,4,6,3,4,,True
Villager3,2,5,3,3,,True
Villager4,2,6,3,4,,True
Villager5,2,6,3,4,,True
Villager6,2,7,2,4,,True
Villager7,2,6,3,4,,True
Villager8,2,6,3,4,,True
Villager9,2,5,3,3,,True
Villager10,2,6,3,4,,True
Villager11,3,7,3,5,,True
Villager12,3,7,3,5,,True
Villager13,2,6,3,4,Villager1,True
Villager14,4,6,3,4,Villager2,True
Villager15,2,5,3,3,Villager3,True
Villager16,2,6,3,4,Villager4,True
Villager17,2,6,3,4,Villager5,True
Villager18,2,7,2,4,Villager6,True
Villager19,2,6,3,4,Villager7,True
Villager20,2,6,3,4,Villager8,True
Villager21,2,5,3,3,Villager9,True
Villager22,2,6,3,4,Villager10,True
Villager23,3,7,3,5,Villager11,True
Villager24,3,7,3,5,Villager12,True
Villager25,2,6,3,4,Villager1,True
Villager26,4,6,3,4,Villager2,True
Villager27,2,5,3,3,Villager3,True
Villager28,2,6,3,4,Villager4,True
Villager29,2,6,3,4,Villager5,True
Villager30,2,7,2,4,Villager6,True
Villager31,2,6,3,4,Villager7,True
Villager32,2,6,3,4,Villager8,True
Villager33,2,5,3,3,Villager9,True
Villager34,2,6,3,4,Villager10,True
Villager35,3,7,3,5,Villager11,True
Villager36,3,7,3,5,Villager12,True
Villager37,2,6,3,4,Villager1,True
Villager38,4,6,3,4,Villager2,True
Villager39,2,5,3,3,Villager3,True
Villager40,2,6,3,4,Villager4,True
Villager41,2,6,3,4,Villager5,True
Villager42,2,7,2,4,Villager6,True
Villager43,2,6,3,4,Villager7,True
Villager44,2,6,3,4,Villager8,True
Villager45,2,5,3,3,Villager9,True
Villager46,2,6,3,4,Villager10,True
Villager47,3,7,3,5,Villager11,True
Villager48,3,7,3,5,Villager12,True
Villager49,2,6,3,4,Villager1,True
Villager50,4,6,3,4,Villager2,True
Villager51,2,5,3,3,Villager3,True
