Name,Type,MouthX,MouthY,EyeX,EyeY,PalSwapOf,NoMini,ReservedID,CardUseVanillaData
Roy,Mug,2,6,3,4,,,,
Marcus,Mug,2,5,2,3,,,,
Alen,Mug,2,5,3,3,,,,
Lance,Mug,2,5,3,3,,,,
Wolt,Mug,2,6,3,4,,,,
Bors,Mug,2,4,3,2,,,,
Merlinus,Mug,2,5,2,3,,,,
Elen,Mug,2,6,3,4,,,,
Dieck,Mug,2,5,2,3,,,,
Ward,Mug,2,5,2,3,,,,
Lot,Mug,2,5,3,3,,,,
Shanna,Mug,2,6,3,4,,,,
Chad,Mug,2,6,3,4,,,,
Lugh,Mug,2,6,3,4,,,,
Clarine,Mug,2,6,3,4,,,,
Rutger,Mug,2,5,2,3,,,,
Saul,Mug,2,5,3,3,,,,
Dorothy,Mug,2,5,3,3,,,,
Sue,Mug,2,5,3,3,,,,
Zelot,Mug,2,5,3,3,,,,
Trec,Mug,2,5,3,3,,,,
Noah,Mug,2,5,3,3,,,,
Astolfo,Mug,2,5,2,3,,,,
Lilina,Mug,2,6,3,4,,,,
Barthe,Mug,2,4,2,2,,,,
Ogier,Mug,2,6,3,4,,,,
Gwendolyn,Mug,2,6,3,4,,,,
Fir,Mug,2,6,3,4,,,,
Sin,Mug,2,5,3,3,,,,
Geese,Mug,2,5,3,3,,,,
Gonzalez,Mug,2,5,2,3,,,,
Klein,Mug,2,5,3,3,,,,
Thea,Mug,2,5,3,4,,,,
Larum,Mug,2,6,3,4,,,,
Elffin,Mug,2,5,2,3,,,,
Echidna,Mug,2,5,3,3,,,,
Bartre,Mug,2,5,2,2,,,,
Raigh,Mug,2,6,3,4,,,,
Cath,Mug,2,6,3,4,,,,
Melady,Mug,2,5,4,3,,,,
Perceval,Mug,2,5,2,3,,,,
Cecilia,Mug,2,5,3,3,,,,
Sophia,Mug,2,6,3,4,,,,
Igrene,Mug,2,5,3,3,,,,
Garrett,Mug,2,4,3,2,,,,
Fae,Mug,3,7,3,5,,,,
Hugh,Mug,2,5,3,3,,,,
Zeiss,Mug,2,5,2,3,,,,
Douglas,Mug,2,5,3,3,,,,
Niime,Mug,2,6,2,4,,,,
Juno,Mug,2,5,3,3,,,,
Dayan,Mug,2,5,3,3,,,,
Yoder,Mug,2,5,3,3,,,,
Karel,Mug,2,5,3,3,,,,
Hector,Mug,2,5,3,2,,,,
Eliwood,Mug,2,5,3,3,,,,
Guinivere,Mug,3,6,3,4,,,,
Damas,Mug,2,5,2,3,,,,
Ruud,Mug,3,5,4,3,,,,
Slater,Mug,3,5,3,3,,,,
Erik,Mug,2,5,3,3,,,,
Dory,Mug,2,5,3,3,,,,
Wagner,Mug,2,6,3,4,,,,
Debias,Mug,2,5,2,3,,,,
Legance,Mug,2,5,2,3,,,,
Henning,Mug,2,5,3,3,,,,
Scott,Mug,2,5,3,3,,,,
Nord,Mug,2,6,3,4,Wagner,,,
Orlo,Mug,3,5,3,3,,,,
Roberts,Mug,2,5,3,3,,,,
Zinque,Mug,2,5,3,3,,,,
Scollan,Mug,2,5,2,3,,,,
Morgan,Mug,2,5,2,3,Legance,,,
Ein,Mug,2,5,3,3,,,,
Guerrero,Mug,2,5,3,3,,,,
Flaer,Mug,2,5,3,3,,,,
Randy,Mug,2,5,3,3,Henning,,,
Maggie,Mug,2,5,3,3,Scott,,,
Rose,Mug,2,5,3,3,Scott,,,
Oates,Mug,2,6,2,4,Peres,,,
Raith,Mug,2,5,3,3,,,,
Narcian,Mug,2,5,3,3,,,,
Windham,Mug,3,5,3,3,Orlo,,,
Arcardo,Mug,2,5,3,3,,,,
Martel,Mug,3,5,3,3,Orlo,,,
Sigune,Mug,2,5,3,3,,,,
Roartz,Mug,2,5,2,3,,,,
Tick,Mug,2,5,3,3,Raith,,,
Monke,Mug,2,5,3,3,,,,
Kel,Mug,2,5,3,3,,,,
SacaeGaidenBosses,Mug,2,5,3,3,Monke,,,
Galle,Mug,2,5,3,3,,,,
Murdock,Mug,2,4,3,2,,,,
Peres,Mug,2,6,2,4,,,,
Zephiel,Mug,4,4,4,2,,,,
Brunnya,Mug,2,5,3,3,,,,
Jahn,Mug,3,5,3,3,,,,
IdunnHuman,Mug,2,6,3,4,,,,
IdunnDragon,Mug,2,10,3,4,,,,
Anna,Mug,2,5,3,3,,TRUE,,
Armory,Mug,3,2,0,0,,TRUE,101,
Vendor,Mug,3,3,0,0,,TRUE,102,
Arena,Mug,3,2,0,0,,TRUE,103,
SecretShop,Mug,3,3,0,0,,,104,
BanditKid,Mug,2,6,2,4,,,,
IdunnHood,Mug,2,6,3,4,,,,
HectorBlood,Mug,2,5,3,2,,TRUE,,
Mordred,Mug,3,6,4,4,,TRUE,,
GenericPegasusKnight,Mug,2,6,3,4,,TRUE,,
Priest,Mug,2,5,2,3,,TRUE,,
SacaeanVillager,Mug,2,6,3,4,,TRUE,,
Soldier1,Mug,4,6,4,4,,TRUE,,
Soldier2,Mug,4,6,4,4,Soldier1,TRUE,,
Soldier3,Mug,4,6,4,4,Soldier1,TRUE,,
Soldier4,Mug,4,6,4,4,Soldier1,TRUE,,
Soldier5,Mug,4,6,4,4,Soldier1,TRUE,,
Soldier6,Mug,4,6,4,4,Soldier1,TRUE,,
Soldier7,Mug,4,6,4,4,Soldier1,TRUE,,
Mary,Mug,2,5,3,3,,TRUE,,
Mieu,Mug,2,7,3,5,,TRUE,,
Villager1,Mug,2,6,3,4,,TRUE,,
Villager2,Mug,4,6,3,4,,TRUE,,
Villager3,Mug,2,5,3,3,,TRUE,,
Villager4,Mug,2,6,3,4,,TRUE,,
Villager5,Mug,2,6,3,4,,TRUE,,
Villager6,Mug,2,7,2,4,,TRUE,,
Villager7,Mug,2,6,3,4,,TRUE,,
Villager8,Mug,2,6,3,4,,TRUE,,
Villager9,Mug,2,5,3,3,,TRUE,,
Villager10,Mug,2,6,3,4,,TRUE,,
Villager11,Mug,3,7,3,5,,TRUE,,
Villager12,Mug,3,7,3,5,,TRUE,,
Villager13,Mug,2,6,3,4,Villager1,TRUE,,
Villager14,Mug,4,6,3,4,Villager2,TRUE,,
Villager15,Mug,2,5,3,3,Villager3,TRUE,,
Villager16,Mug,2,6,3,4,Villager4,TRUE,,
Villager17,Mug,2,6,3,4,Villager5,TRUE,,
Villager18,Mug,2,7,2,4,Villager6,TRUE,,
Villager19,Mug,2,6,3,4,Villager7,TRUE,,
Villager20,Mug,2,6,3,4,Villager8,TRUE,,
Villager21,Mug,2,5,3,3,Villager9,TRUE,,
Villager22,Mug,2,6,3,4,Villager10,TRUE,,
Villager23,Mug,3,7,3,5,Villager11,TRUE,,
Villager24,Mug,3,7,3,5,Villager12,TRUE,,
Villager25,Mug,2,6,3,4,Villager1,TRUE,,
Villager26,Mug,4,6,3,4,Villager2,TRUE,,
Villager27,Mug,2,5,3,3,Villager3,TRUE,,
Villager28,Mug,2,6,3,4,Villager4,TRUE,,
Villager29,Mug,2,6,3,4,Villager5,TRUE,,
Villager30,Mug,2,7,2,4,Villager6,TRUE,,
Villager31,Mug,2,6,3,4,Villager7,TRUE,,
Villager32,Mug,2,6,3,4,Villager8,TRUE,,
Villager33,Mug,2,5,3,3,Villager9,TRUE,,
Villager34,Mug,2,6,3,4,Villager10,TRUE,,
Villager35,Mug,3,7,3,5,Villager11,TRUE,,
Villager36,Mug,3,7,3,5,Villager12,TRUE,,
Villager37,Mug,2,6,3,4,Villager1,TRUE,,
Villager38,Mug,4,6,3,4,Villager2,TRUE,,
Villager39,Mug,2,5,3,3,Villager3,TRUE,,
Villager40,Mug,2,6,3,4,Villager4,TRUE,,
Villager41,Mug,2,6,3,4,Villager5,TRUE,,
Villager42,Mug,2,7,2,4,Villager6,TRUE,,
Villager43,Mug,2,6,3,4,Villager7,TRUE,,
Villager44,Mug,2,6,3,4,Villager8,TRUE,,
Villager45,Mug,2,5,3,3,Villager9,TRUE,,
Villager46,Mug,2,6,3,4,Villager10,TRUE,,
Villager47,Mug,3,7,3,5,Villager11,TRUE,,
Villager48,Mug,3,7,3,5,Villager12,TRUE,,
Villager49,Mug,2,6,3,4,Villager1,TRUE,,
Villager50,Mug,4,6,3,4,Villager2,TRUE,,
Villager51,Mug,2,5,3,3,Villager3,TRUE,,
Villager52,Mug,2,6,3,4,Villager4,TRUE,,
Villager53,Mug,2,6,3,4,Villager5,TRUE,,
Villager54,Mug,2,7,2,4,Villager6,TRUE,,
Villager55,Mug,2,6,3,4,Villager7,TRUE,,
Villager56,Mug,2,6,3,4,Villager8,TRUE,,
Villager57,Mug,2,5,3,3,Villager9,TRUE,,
Villager58,Mug,2,6,3,4,Villager10,TRUE,,
Villager59,Mug,3,7,3,5,Villager11,TRUE,,
Villager60,Mug,3,7,3,5,Villager12,TRUE,,
Myrmidon,Card,,,,,,,,TRUE
Swordmaster,Card,,,,,,,,TRUE
Fighter,Card,,,,,,,,TRUE
Warrior,Card,,,,,,,,TRUE
Knight,Card,,,,,,,,TRUE
General,Card,,,,,,,,TRUE
Archer,Card,,,,,,,,TRUE
Sniper,Card,,,,,,,,TRUE
MonkClericPriest,Card,,,,,,,,TRUE
Bishop,Card,,,,,,,,TRUE
Mage,Card,,,,,,,,TRUE
Sage,Card,,,,,,,,TRUE
Shaman,Card,,,,,,,,TRUE
Druid,Card,,,,,,,,TRUE
Cavalier,Card,,,,,,,,TRUE
Paladin,Card,,,,,,,,TRUE
Troubadour,Card,,,,,,,,TRUE
Valkyrie,Card,,,,,,,,TRUE
Nomad,Card,,,,,,,,TRUE
NomadTrooper,Card,,,,,,,,TRUE
PegasusKnight,Card,,,,,,,,TRUE
Falcoknight,Card,,,,,,,,TRUE
WyvernRider,Card,,,,,,,,TRUE
WyvernLord,Card,,,,,,,,TRUE
Recruit,Card,,,,,,,,TRUE
Brigand,Card,,,,,,,,TRUE
Pirate,Card,,,,,,,,TRUE
Berserker,Card,,,,,,,,TRUE
Thief,Card,,,,,,,,TRUE
Manakete1,Card,,,,,,,,TRUE
Mercenary,Card,,,,,,,,TRUE
Hero,Card,,,,,,,,TRUE
Fleet,Card,,,,,,,,TRUE
WyvernKnight,Card,,,,,,,,TRUE
Rogue,Card,,,,,,,,TRUE
MageKnight,Card,,,,,,,,TRUE
GreatKnight,Card,,,,,,,,TRUE
Ranger,Card,,,,,,,,TRUE
Phantom,Card,,,,,,,,TRUE
Revenant,Card,,,,,,,,TRUE
Entombed,Card,,,,,,,,TRUE
Bonewalker,Card,,,,,,,,TRUE
Wight,Card,,,,,,,,TRUE
Bael,Card,,,,,,,,TRUE
ElderBael,Card,,,,,,,,TRUE
Cyclops,Card,,,,,,,,TRUE
MautheDoog,Card,,,,,,,,TRUE
Gwyllgi,Card,,,,,,,,TRUE
Tarvos,Card,,,,,,,,TRUE
Maelduin,Card,,,,,,,,TRUE
Mogall,Card,,,,,,,,TRUE
ArchMogall,Card,,,,,,,,TRUE
GorgonEgg,Card,,,,,,,,TRUE
Gargoyle,Card,,,,,,,,TRUE
Deathgoyle,Card,,,,,,,,TRUE
Manakete2,Card,,,,,,,,TRUE
DemonKing,Card,,,,,,,,TRUE
