0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,B9,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Roy,RoyName,RoyDescription,1,0x0,RoyMug,0x0,FireAffinity,0x1,1,0,2,2,3,0,0,7,0,0,0,0,0,0,0,0,0,80,40,50,40,25,30,60,0x0,0x0,0x0,0x0,0x0,0x0,RoySupportData|IsPointer,0x0,0x0,0x0,0x0
Marcus,MarcusName,MarcusDescription,2,Paladin,MarcusMug,0x0,IceAffinity,0x2,1,9,2,10,4,1,5,10,0,0,ARank,0,0,0,0,0,0,60,25,20,25,15,20,20,0x0,0x0,0x0,0x0,0x0,0x0,MarcusSupportData|IsPointer,0x0,0x0,0x0,0x0
Alen,AlenName,AlenDescription,3,Cavalier,AlenMug,0x0,FireAffinity,0x3,1,1,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,85,45,40,45,25,10,40,0x0,0x0,0x0,0x0,0x0,0x0,AlenSupportData|IsPointer,0x0,0x0,0x0,0x0
Lance,LanceName,LanceDescription,4,Cavalier,LanceMug,0x0,AnimaAffinity,0x4,1,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,80,40,45,50,20,15,35,0x0,0x0,0x0,0x0,0x0,0x0,LanceSupportData|IsPointer,0x0,0x0,0x0,0x0
Wolt,WoltName,WoltDescription,5,Archer,WoltMug,0x0,IceAffinity,0x5,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,80,40,50,40,20,10,40,0x0,0x0,0x0,0x0,0x0,0x0,WoltSupportData|IsPointer,0x0,0x0,0x0,0x0
Bors,BorsName,BorsDescription,6,Knight,BorsMug,0x0,WindAffinity,0x6,1,3,2,2,3,2,0,4,1,0,CRank,0,0,0,0,0,0,90,30,30,40,35,10,50,0x0,0x0,0x0,0x0,0x0,TriangleAttack2,BorsSupportData|IsPointer,0x0,0x0,0x0,0x0
Merlinus,MerlinusName,MerlinusDescription,7,Transporter,MerlinusMug,0x0,DarkAffinity,0x7,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100,0,50,50,20,5,100,0x0,0x0,0x0,0x0,0x0,0x0,MerlinusSupportData|IsPointer,0x0,0x0,0x0,0x0
Elen,ElenName,ElenDescription,8,Cleric,ElenMug,0x0,WindAffinity,0x8,2,0,0,4,6,0,0,8,0,0,0,0,0,DRank,0,0,0,45,50,30,20,5,60,70,0x0,0x0,0x0,0x0,0x0,IsFemale,ElenSupportData|IsPointer,0x0,0x0,0x0,0x0
Dieck,DieckName,DieckDescription,9,Mercenary,DieckMug,0x0,ThunderAffinity,0x9,5,8,5,4,2,2,1,5,4,CRank,0,0,0,0,0,0,0,90,40,40,30,20,15,35,0x0,0x0,0x0,0x0,0x0,0x0,DieckSupportData|IsPointer,0x0,0x0,0x0,0x0
Ward,WardName,WardDescription,10,Fighter,WardMug,0x0,FireAffinity,0xa,2,8,3,1,1,1,0,4,2,0,0,DRank,0,0,0,0,0,75,50,45,20,30,5,45,0x0,0x0,0x0,0x0,0x0,0x0,WardSupportData|IsPointer,0x0,0x0,0x0,0x0
Lot,LotName,LotDescription,11,Fighter,LotMug,0x0,AnimaAffinity,0xb,3,9,2,4,3,2,1,2,1,0,0,0,0,0,0,0,0,80,30,30,35,40,15,30,0x0,0x0,0x0,0x0,0x0,0x0,LotSupportData|IsPointer,0x0,0x0,0x0,0x0
Shanna,ShannaName,ShannaDescription,12,PegasusKnight,ShannaMug,0x0,WindAffinity,0xc,1,3,0,1,7,3,3,5,-1,0,0,0,0,0,0,0,0,45,30,55,60,10,25,60,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,ShannaSupportData|IsPointer,0x0,0x0,0x0,0x0
Chad,ChadName,ChadDescription,13,Thief,ChadMug,0x0,ThunderAffinity,0xd,1,0,0,2,1,0,0,4,-1,0,0,0,0,0,0,0,0,85,50,50,80,25,15,60,0x0,0x0,0x0,0x0,0x0,0x0,ChadSupportData|IsPointer,0x0,0x0,0x0,0x0
Lugh,LughName,LughDescription,14,Mage,LughMug,0x0,FireAffinity,0xe,1,0,3,3,3,0,2,5,-2,0,0,0,0,0,0,0,0,50,40,50,50,15,30,35,0x0,0x0,0x0,0x0,0x0,0x0,LughSupportData|IsPointer,0x0,0x0,0x0,0x0
Clarine,ClarineName,ClarineDescription,15,Troubadour,ClarineMug,0x0,ThunderAffinity,0xf,1,0,1,4,6,0,0,8,0,0,0,0,0,0,0,0,0,40,30,40,50,10,40,65,0x0,0x0,0x0,0x0,0x0,IsFemale,ClarineSupportData|IsPointer,0x0,0x0,0x0,0x0
Rutger,RutgerName,RutgerDescription,16,Myrmidon,RutgerMug,0x0,DarkAffinity,0x10,4,6,3,3,4,3,0,2,-1,CRank,0,0,0,0,0,0,0,80,30,60,50,20,20,30,0x0,0x0,0x0,0x0,0x0,0x0,RutgerSupportData|IsPointer,0x0,0x0,0x0,0x0
Saul,SaulName,SaulDescription,17,Priest,SaulMug,0x0,IceAffinity,0x11,5,2,3,5,8,1,0,2,1,0,0,0,0,CRank,0,0,0,60,40,45,45,15,50,15,0x0,0x0,0x0,0x0,0x0,0x0,SaulSupportData|IsPointer,0x0,0x0,0x0,0x0
Dorothy,DorothyName,DorothyDescription,18,ArcherF,DorothyMug,0x0,FireAffinity,0x12,3,2,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,85,50,45,45,15,15,35,0x0,0x0,0x0,0x0,0x0,IsFemale,DorothySupportData|IsPointer,0x0,0x0,0x0,0x0
Sue,SueName,SueDescription,19,NomadF,SueMug,0x0,WindAffinity,0x13,1,3,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,55,30,55,65,10,15,50,0x0,0x0,0x0,0x0,0x0,IsFemale,SueSupportData|IsPointer,0x0,0x0,0x0,0x0
Zelot,ZelotName,ZelotDescription,20,Paladin,ZelotMug,0x0,DarkAffinity,0x14,1,12,3,8,6,3,4,5,0,CRank,ARank,DRank,0,0,0,0,0,75,25,20,20,30,15,15,0x0,0x0,0x0,0x0,0x0,0x0,ZelotSupportData|IsPointer,0x0,0x0,0x0,0x0
Trec,TrecName,TrecDescription,21,Cavalier,TrecMug,0x0,WindAffinity,0x15,3,5,3,4,2,2,0,5,0,0,0,0,0,0,0,0,0,85,40,30,35,30,5,50,0x0,0x0,0x0,0x0,0x0,0x0,TrecSupportData|IsPointer,0x0,0x0,0x0,0x0
Noah,NoahName,NoahDescription,22,Cavalier,NoahMug,0x0,AnimaAffinity,0x16,4,7,3,5,4,1,1,6,1,CRank,0,0,0,0,0,0,0,75,30,45,30,30,10,40,0x0,0x0,0x0,0x0,0x0,0x0,NoahSupportData|IsPointer,0x0,0x0,0x0,0x0
Astolfo,AstolfoName,AstolfoDescription,23,Thief,AstolfoMug,0x0,DarkAffinity,0x17,10,9,4,7,6,5,3,11,2,CRank,0,0,0,0,0,0,0,90,35,40,50,20,20,15,0x0,0x0,0x0,0x0,0x0,0x0,AstolfoSupportData|IsPointer,0x0,0x0,0x0,0x0
Lilina,LilinaName,LilinaDescription,24,MageF,LilinaMug,0x0,LightAffinity,0x18,1,0,4,2,2,0,3,4,0,0,0,0,0,0,CRank,0,0,45,75,20,35,10,35,50,0x0,0x0,0x0,0x0,0x0,IsFemale,LilinaSupportData|IsPointer,0x0,0x0,0x0,0x0
Barthe,BartheName,BartheDescription,25,Knight,BartheMug,0x0,IceAffinity,0x19,9,8,5,4,5,5,1,2,3,0,CRank,0,0,0,0,0,0,100,60,25,20,40,2,20,0x0,0x0,0x0,0x0,0x0,TriangleAttack2,BartheSupportData|IsPointer,0x0,0x0,0x0,0x0
Ogier,OgierName,OgierDescription,26,Mercenary,OgierMug,0x0,WindAffinity,0x1a,3,6,3,2,1,0,0,6,-1,0,0,0,0,0,0,0,0,85,40,30,45,20,15,55,0x0,0x0,0x0,0x0,0x0,0x0,OgierSupportData|IsPointer,0x0,0x0,0x0,0x0
Gwendolyn,GwendolynName,GwendolynDescription,27,Knight,GwendolynMug,0x0,FireAffinity,0x1b,1,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,85,40,40,40,30,10,45,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack2,GwendolynSupportData|IsPointer,0x0,0x0,0x0,0x0
Fir,FirName,FirDescription,28,MyrmidonF,FirMug,0x0,FireAffinity,0x1c,1,4,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,75,25,50,55,15,20,50,0x0,0x0,0x0,0x0,0x0,IsFemale,FirSupportData|IsPointer,0x0,0x0,0x0,0x0
Sin,SinName,SinDescription,29,Nomad,SinMug,0x0,IceAffinity,0x1d,5,8,2,4,5,3,0,6,0,0,0,0,0,0,0,0,0,75,45,50,50,10,15,25,0x0,0x0,0x0,0x0,0x0,0x0,SinSupportData|IsPointer,0x0,0x0,0x0,0x0
Geese,GeeseName,GeeseDescription,30,Pirate,GeeseMug,0x0,FireAffinity,0x1e,10,14,6,7,3,5,0,9,1,0,0,BRank,0,0,0,0,0,85,50,30,40,20,10,40,0x0,0x0,0x0,0x0,0x0,0x0,GeeseSupportData|IsPointer,0x0,0x0,0x0,0x0
Gonzalez,GonzalezName,GonzalezDescription,31,Brigand,GonzalezMug,0x0,ThunderAffinity,0x1f,11,16,7,4,4,3,0,5,3,0,0,CRank,0,0,0,0,0,90,60,15,50,25,5,35,0x0,0x0,0x0,0x0,0x0,0x0,GonzalezSupportData|IsPointer,0x0,0x0,0x0,0x0
Klein,KleinName,KleinDescription,32,Sniper,KleinMug,0x0,IceAffinity,0x20,1,6,6,7,6,3,4,10,-1,0,0,0,ARank,0,0,0,0,60,35,40,45,15,25,50,0x0,0x0,0x0,0x0,0x0,0x0,KleinSupportData|IsPointer,0x0,0x0,0x0,0x0
Thea,TheaName,TheaDescription,33,PegasusKnight,TheaMug,0x0,IceAffinity,0x21,8,8,2,3,6,4,4,3,0,0,0,0,0,0,0,0,0,60,40,45,55,15,20,40,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,TheaSupportData|IsPointer,0x0,0x0,0x0,0x0
Larum,LarumName,LarumDescription,34,Dancer,LarumMug,0x0,ThunderAffinity,0x22,1,0,0,0,4,2,3,9,0,0,0,0,0,0,0,0,0,70,10,5,70,20,30,80,0x0,0x0,0x0,0x0,0x0,IsFemale,LarumSupportData|IsPointer,0x0,0x0,0x0,0x0
Elffin,ElffinName,ElffinDescription,35,Bard,ElffinMug,0x0,LightAffinity,0x23,1,1,0,1,3,3,1,11,0,0,0,0,0,0,0,0,0,80,5,5,65,25,55,65,0x0,0x0,0x0,0x0,0x0,0x0,ElffinSupportData|IsPointer,0x0,0x0,0x0,0x0
Echidna,EchidnaName,EchidnaDescription,36,HeroF,EchidnaMug,0x0,IceAffinity,0x24,1,13,7,9,7,2,4,6,0,0,0,BRank,0,0,0,0,0,75,30,25,30,15,15,20,0x0,0x0,0x0,0x0,0x0,IsFemale,EchidnaSupportData|IsPointer,0x0,0x0,0x0,0x0
Bartre,BartreName,BartreDescription,37,Warrior,BartreMug,0x0,ThunderAffinity,0x25,1,20,14,6,4,5,3,14,1,0,0,ARank,DRank,0,0,0,0,70,40,20,30,20,5,20,0x0,0x0,0x0,0x0,0x0,0x0,BartreSupportData|IsPointer,0x0,0x0,0x0,0x0
Raigh,RaighName,RaighDescription,38,Shaman,RaighMug,0x0,IceAffinity,0x26,10,7,10,8,7,3,6,6,-1,0,0,0,0,0,0,0,CRank,55,45,55,40,15,35,15,0x0,0x0,0x0,0x0,0x0,0x0,RaighSupportData|IsPointer,0x0,0x0,0x0,0x0
Cath,CathName,CathDescription,39,ThiefF,CathMug,0x0,AnimaAffinity,0x27,5,0,2,6,4,1,0,8,0,0,0,0,0,0,0,0,0,80,40,45,85,15,20,50,0x0,0x0,0x0,0x0,0x0,IsFemale,CathSupportData|IsPointer,0x0,0x0,0x0,0x0
Melady,MeladyName,MeladyDescription,40,WyvernRiderF,MeladyMug,0x0,DarkAffinity,0x28,10,11,6,6,5,6,3,5,0,0,CRank,0,0,0,0,0,0,75,50,50,45,20,5,25,0x0,0x0,0x0,0x0,0x0,IsFemale,MeladySupportData|IsPointer,0x0,0x0,0x0,0x0
Perceval,PercevalName,PercevalDescription,41,Paladin,PercevalMug,0x0,DarkAffinity,0x29,13,20,10,9,11,6,8,12,1,ARank,ARank,CRank,0,0,0,0,0,75,30,25,35,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,PercevalSupportData|IsPointer,0x0,0x0,0x0,0x0
Cecilia,CeciliaName,CeciliaDescription,42,Valkyrie,CeciliaMug,0x0,AnimaAffinity,0x2a,1,11,7,4,5,3,5,10,0,0,0,0,0,0,ARank,0,0,60,35,45,25,20,25,25,0x0,0x0,0x0,0x0,0x0,IsFemale,CeciliaSupportData|IsPointer,0x0,0x0,0x0,0x0
Sophia,SophiaName,SophiaDescription,43,ShamanF,SophiaMug,0x0,DarkAffinity,0x2b,1,0,3,1,3,0,3,3,0,0,0,0,0,0,0,0,CRank,60,55,40,30,20,55,20,0x0,0x0,0x0,0x0,0x0,IsFemale,SophiaSupportData|IsPointer,0x0,0x0,0x0,0x0
