0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,B9,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Roy,Roy_Name,Roy_Description,1,0x0,Roy_Mug,0x0,FireAffinity,0x1,1,0,2,2,3,0,0,7,0,0,0,0,0,0,0,0,0,80,40,50,40,25,30,60,0x0,0x0,0x0,0x0,0x0,0x0,RoySupportData|IsPointer,0x0,0x0,0x0,0x0
Marcus,Marcus_Name,Marcus_Description,2,Paladin,Marcus_Mug,0x0,IceAffinity,0x2,1,9,2,10,4,1,5,10,0,0,ARank,0,0,0,0,0,0,60,25,20,25,15,20,20,0x0,0x0,0x0,0x0,0x0,0x0,MarcusSupportData|IsPointer,0x0,0x0,0x0,0x0
Alen,Alen_Name,Alen_Description,3,Cavalier,Alen_Mug,0x0,FireAffinity,0x3,1,1,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,85,45,40,45,25,10,40,0x0,0x0,0x0,0x0,0x0,0x0,AlenSupportData|IsPointer,0x0,0x0,0x0,0x0
Lance,Lance_Name,Lance_Description,4,Cavalier,Lance_Mug,0x0,AnimaAffinity,0x4,1,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,80,40,45,50,20,15,35,0x0,0x0,0x0,0x0,0x0,0x0,LanceSupportData|IsPointer,0x0,0x0,0x0,0x0
Wolt,Wolt_Name,Wolt_Description,5,Archer,Wolt_Mug,0x0,IceAffinity,0x5,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,80,40,50,40,20,10,40,0x0,0x0,0x0,0x0,0x0,0x0,WoltSupportData|IsPointer,0x0,0x0,0x0,0x0
Bors,Bors_Name,Bors_Description,6,Knight,Bors_Mug,0x0,WindAffinity,0x6,1,3,2,2,3,2,0,4,1,0,CRank,0,0,0,0,0,0,90,30,30,40,35,10,50,0x0,0x0,0x0,0x0,0x0,TriangleAttack2,BorsSupportData|IsPointer,0x0,0x0,0x0,0x0
Merlinus,Merlinus_Name,Merlinus_Description,7,Transporter,Merlinus_Mug,0x0,DarkAffinity,0x7,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100,0,50,50,20,5,100,0x0,0x0,0x0,0x0,0x0,0x0,MerlinusSupportData|IsPointer,0x0,0x0,0x0,0x0
Elen,Elen_Name,Elen_Description,8,Cleric,Elen_Mug,0x0,WindAffinity,0x8,2,0,0,4,6,0,0,8,0,0,0,0,0,DRank,0,0,0,45,50,30,20,5,60,70,0x0,0x0,0x0,0x0,0x0,IsFemale,ElenSupportData|IsPointer,0x0,0x0,0x0,0x0
Dieck,Dieck_Name,Dieck_Description,9,Mercenary,Dieck_Mug,0x0,ThunderAffinity,0x9,5,8,5,4,2,2,1,5,4,CRank,0,0,0,0,0,0,0,90,40,40,30,20,15,35,0x0,0x0,0x0,0x0,0x0,0x0,DieckSupportData|IsPointer,0x0,0x0,0x0,0x0
Ward,Ward_Name,Ward_Description,10,Fighter,Ward_Mug,0x0,FireAffinity,0xa,2,8,3,1,1,1,0,4,2,0,0,DRank,0,0,0,0,0,75,50,45,20,30,5,45,0x0,0x0,0x0,0x0,0x0,0x0,WardSupportData|IsPointer,0x0,0x0,0x0,0x0
Lot,Lot_Name,Lot_Description,11,Fighter,Lot_Mug,0x0,AnimaAffinity,0xb,3,9,2,4,3,2,1,2,1,0,0,0,0,0,0,0,0,80,30,30,35,40,15,30,0x0,0x0,0x0,0x0,0x0,0x0,LotSupportData|IsPointer,0x0,0x0,0x0,0x0
Shanna,Shanna_Name,Shanna_Description,12,PegasusKnight,Shanna_Mug,0x0,WindAffinity,0xc,1,3,0,1,7,3,3,5,-1,0,0,0,0,0,0,0,0,45,30,55,60,10,25,60,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,ShannaSupportData|IsPointer,0x0,0x0,0x0,0x0
Chad,Chad_Name,Chad_Description,13,Thief,Chad_Mug,0x0,ThunderAffinity,0xd,1,0,0,2,1,0,0,4,-1,0,0,0,0,0,0,0,0,85,50,50,80,25,15,60,0x0,0x0,0x0,0x0,0x0,0x0,ChadSupportData|IsPointer,0x0,0x0,0x0,0x0
Lugh,Lugh_Name,Lugh_Description,14,Mage,Lugh_Mug,0x0,FireAffinity,0xe,1,0,3,3,3,0,2,5,-2,0,0,0,0,0,0,0,0,50,40,50,50,15,30,35,0x0,0x0,0x0,0x0,0x0,0x0,LughSupportData|IsPointer,0x0,0x0,0x0,0x0
Clarine,Clarine_Name,Clarine_Description,15,Troubadour,Clarine_Mug,0x0,ThunderAffinity,0xf,1,0,1,4,6,0,0,8,0,0,0,0,0,0,0,0,0,40,30,40,50,10,40,65,0x0,0x0,0x0,0x0,0x0,IsFemale,ClarineSupportData|IsPointer,0x0,0x0,0x0,0x0
Rutger,Rutger_Name,Rutger_Description,16,Myrmidon,Rutger_Mug,0x0,DarkAffinity,0x10,4,6,3,3,4,3,0,2,-1,CRank,0,0,0,0,0,0,0,80,30,60,50,20,20,30,0x0,0x0,0x0,0x0,0x0,0x0,RutgerSupportData|IsPointer,0x0,0x0,0x0,0x0
Saul,Saul_Name,Saul_Description,17,Priest,Saul_Mug,0x0,IceAffinity,0x11,5,2,3,5,8,1,0,2,1,0,0,0,0,CRank,0,0,0,60,40,45,45,15,50,15,0x0,0x0,0x0,0x0,0x0,0x0,SaulSupportData|IsPointer,0x0,0x0,0x0,0x0
Dorothy,Dorothy_Name,Dorothy_Description,18,ArcherF,Dorothy_Mug,0x0,FireAffinity,0x12,3,2,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,85,50,45,45,15,15,35,0x0,0x0,0x0,0x0,0x0,IsFemale,DorothySupportData|IsPointer,0x0,0x0,0x0,0x0
Sue,Sue_Name,Sue_Description,19,NomadF,Sue_Mug,0x0,WindAffinity,0x13,1,3,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,55,30,55,65,10,15,50,0x0,0x0,0x0,0x0,0x0,IsFemale,SueSupportData|IsPointer,0x0,0x0,0x0,0x0
Zelot,Zelot_Name,Zelot_Description,20,Paladin,Zelot_Mug,0x0,DarkAffinity,0x14,1,12,3,8,6,3,4,5,0,CRank,ARank,DRank,0,0,0,0,0,75,25,20,20,30,15,15,0x0,0x0,0x0,0x0,0x0,0x0,ZelotSupportData|IsPointer,0x0,0x0,0x0,0x0
Trec,Trec_Name,Trec_Description,21,Cavalier,Trec_Mug,0x0,WindAffinity,0x15,3,5,3,4,2,2,0,5,0,0,0,0,0,0,0,0,0,85,40,30,35,30,5,50,0x0,0x0,0x0,0x0,0x0,0x0,TrecSupportData|IsPointer,0x0,0x0,0x0,0x0
Noah,Noah_Name,Noah_Description,22,Cavalier,Noah_Mug,0x0,AnimaAffinity,0x16,4,7,3,5,4,1,1,6,1,CRank,0,0,0,0,0,0,0,75,30,45,30,30,10,40,0x0,0x0,0x0,0x0,0x0,0x0,NoahSupportData|IsPointer,0x0,0x0,0x0,0x0
Astolfo,Astolfo_Name,Astolfo_Description,23,Thief,Astolfo_Mug,0x0,DarkAffinity,0x17,10,9,4,7,6,5,3,11,2,CRank,0,0,0,0,0,0,0,90,35,40,50,20,20,15,0x0,0x0,0x0,0x0,0x0,0x0,AstolfoSupportData|IsPointer,0x0,0x0,0x0,0x0
Lilina,Lilina_Name,Lilina_Description,24,MageF,Lilina_Mug,0x0,LightAffinity,0x18,1,0,4,2,2,0,3,4,0,0,0,0,0,0,CRank,0,0,45,75,20,35,10,35,50,0x0,0x0,0x0,0x0,0x0,IsFemale,LilinaSupportData|IsPointer,0x0,0x0,0x0,0x0
Barthe,Barthe_Name,Barthe_Description,25,Knight,Barthe_Mug,0x0,IceAffinity,0x19,9,8,5,4,5,5,1,2,3,0,CRank,0,0,0,0,0,0,100,60,25,20,40,2,20,0x0,0x0,0x0,0x0,0x0,TriangleAttack2,BartheSupportData|IsPointer,0x0,0x0,0x0,0x0
Ogier,Ogier_Name,Ogier_Description,26,Mercenary,Ogier_Mug,0x0,WindAffinity,0x1a,3,6,3,2,1,0,0,6,-1,0,0,0,0,0,0,0,0,85,40,30,45,20,15,55,0x0,0x0,0x0,0x0,0x0,0x0,OgierSupportData|IsPointer,0x0,0x0,0x0,0x0
Gwendolyn,Gwendolyn_Name,Gwendolyn_Description,27,Knight,Gwendolyn_Mug,0x0,FireAffinity,0x1b,1,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,85,40,40,40,30,10,45,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack2,GwendolynSupportData|IsPointer,0x0,0x0,0x0,0x0
Fir,Fir_Name,Fir_Description,28,MyrmidonF,Fir_Mug,0x0,FireAffinity,0x1c,1,4,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,75,25,50,55,15,20,50,0x0,0x0,0x0,0x0,0x0,IsFemale,FirSupportData|IsPointer,0x0,0x0,0x0,0x0
Sin,Sin_Name,Sin_Description,29,Nomad,Sin_Mug,0x0,IceAffinity,0x1d,5,8,2,4,5,3,0,6,0,0,0,0,0,0,0,0,0,75,45,50,50,10,15,25,0x0,0x0,0x0,0x0,0x0,0x0,SinSupportData|IsPointer,0x0,0x0,0x0,0x0
Geese,Geese_Name,Geese_Description,30,Pirate,Geese_Mug,0x0,FireAffinity,0x1e,10,14,6,7,3,5,0,9,1,0,0,BRank,0,0,0,0,0,85,50,30,40,20,10,40,0x0,0x0,0x0,0x0,0x0,0x0,GeeseSupportData|IsPointer,0x0,0x0,0x0,0x0
Gonzalez,Gonzalez_Name,Gonzalez_Description,31,Brigand,Gonzalez_Mug,0x0,ThunderAffinity,0x1f,11,16,7,4,4,3,0,5,3,0,0,CRank,0,0,0,0,0,90,60,15,50,25,5,35,0x0,0x0,0x0,0x0,0x0,0x0,GonzalezSupportData|IsPointer,0x0,0x0,0x0,0x0
Klein,Klein_Name,Klein_Description,32,Sniper,Klein_Mug,0x0,IceAffinity,0x20,1,6,6,7,6,3,4,10,-1,0,0,0,ARank,0,0,0,0,60,35,40,45,15,25,50,0x0,0x0,0x0,0x0,0x0,0x0,KleinSupportData|IsPointer,0x0,0x0,0x0,0x0
Thea,Thea_Name,Thea_Description,33,PegasusKnight,Thea_Mug,0x0,IceAffinity,0x21,8,8,2,3,6,4,4,3,0,0,0,0,0,0,0,0,0,60,40,45,55,15,20,40,0x0,0x0,0x0,0x0,0x0,IsFemale|TriangleAttack,TheaSupportData|IsPointer,0x0,0x0,0x0,0x0
Larum,Larum_Name,Larum_Description,34,Dancer,Larum_Mug,0x0,ThunderAffinity,0x22,1,0,0,0,4,2,3,9,0,0,0,0,0,0,0,0,0,70,10,5,70,20,30,80,0x0,0x0,0x0,0x0,0x0,IsFemale,LarumSupportData|IsPointer,0x0,0x0,0x0,0x0
Elffin,Elffin_Name,Elffin_Description,35,Bard,Elffin_Mug,0x0,LightAffinity,0x23,1,1,0,1,3,3,1,11,0,0,0,0,0,0,0,0,0,80,5,5,65,25,55,65,0x0,0x0,0x0,0x0,0x0,0x0,ElffinSupportData|IsPointer,0x0,0x0,0x0,0x0
Echidna,Echidna_Name,Echidna_Description,36,HeroF,Echidna_Mug,0x0,IceAffinity,0x24,1,13,7,9,7,2,4,6,0,0,0,BRank,0,0,0,0,0,75,30,25,30,15,15,20,0x0,0x0,0x0,0x0,0x0,IsFemale,EchidnaSupportData|IsPointer,0x0,0x0,0x0,0x0
Bartre,Bartre_Name,Bartre_Description,37,Warrior,Bartre_Mug,0x0,ThunderAffinity,0x25,1,20,14,6,4,5,3,14,1,0,0,ARank,DRank,0,0,0,0,70,40,20,30,20,5,20,0x0,0x0,0x0,0x0,0x0,0x0,BartreSupportData|IsPointer,0x0,0x0,0x0,0x0
Raigh,Raigh_Name,Raigh_Description,38,Shaman,Raigh_Mug,0x0,IceAffinity,0x26,10,7,10,8,7,3,6,6,-1,0,0,0,0,0,0,0,CRank,55,45,55,40,15,35,15,0x0,0x0,0x0,0x0,0x0,0x0,RaighSupportData|IsPointer,0x0,0x0,0x0,0x0
Cath,Cath_Name,Cath_Description,39,ThiefF,Cath_Mug,0x0,AnimaAffinity,0x27,5,0,2,6,4,1,0,8,0,0,0,0,0,0,0,0,0,80,40,45,85,15,20,50,0x0,0x0,0x0,0x0,0x0,IsFemale,CathSupportData|IsPointer,0x0,0x0,0x0,0x0
Melady,Melady_Name,Melady_Description,40,WyvernRiderF,Melady_Mug,0x0,DarkAffinity,0x28,10,11,6,6,5,6,3,5,0,0,CRank,0,0,0,0,0,0,75,50,50,45,20,5,25,0x0,0x0,0x0,0x0,0x0,IsFemale,MeladySupportData|IsPointer,0x0,0x0,0x0,0x0
Perceval,Perceval_Name,Perceval_Description,41,Paladin,Perceval_Mug,0x0,DarkAffinity,0x29,13,20,10,9,11,6,8,12,1,ARank,ARank,CRank,0,0,0,0,0,75,30,25,35,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,PercevalSupportData|IsPointer,0x0,0x0,0x0,0x0
Cecilia,Cecilia_Name,Cecilia_Description,42,Valkyrie,Cecilia_Mug,0x0,AnimaAffinity,0x2a,1,11,7,4,5,3,5,10,0,0,0,0,0,0,ARank,0,0,60,35,45,25,20,25,25,0x0,0x0,0x0,0x0,0x0,IsFemale,CeciliaSupportData|IsPointer,0x0,0x0,0x0,0x0
