INLINE Class_Level_Cap_Table,Level Cap
RoyLord,20
RoyGreatLord,20
FE8_EphraimGreatLord,20
FE8_EirikaGreatLord,20
Cavalier,20
FE8_CavalierF,20
Paladin,20
FE8_PaladinF,20
Knight,20
KnightF,20
General,20
GeneralF,20
Thief,20
FE8_Manakete1,20
Mercenary,20
FE8_MercenaryF,20
Hero,20
HeroF,20
Myrmidon,20
MyrmidonF,20
Swordmaster,20
SwordmasterF,20
FE8_Assassin,20
FE8_AssassinF,20
Archer,20
ArcherF,20
Sniper,20
SniperF,20
FE8_Ranger,20
FE8_RangerF,20
WyvernRider,20
WyvernRiderF,20
WyvernLord,20
WyvernLordF,20
FE8_WyvernKnight,20
FE8_WyvernKnightF,20
Mage,20
MageF,20
Sage,20
SageF,20
FE8_MageKnight,20
FE8_MageKnightF,20
Bishop,20
BishopF,20
Shaman,20
ShamanF,20
Druid,20
DruidF,20
FE8_Summoner,20
FE8_SummonerF,20
FE8_Rogue,20
FE8_GorgonEgg1,20
FE8_GreatKnight,20
FE8_GreatKnightF,20
FE8_Recruit2,20
FE8_Journeyman3,20
FE8_Pupil3,20
FE8_Recruit3,20
FE8_Manakete2,20
FE8_ManaketeF,20
FE8_Journeyman1,20
FE8_Pupil1,10
Fighter,10
Warrior,20
Brigand,20
Pirate,20
Berserker,20
FE8_Monk,20
Priest,20
Bard,20
FE8_Recruit1,20
PegasusKnight,10
Falcoknight,20
Cleric,20
Troubadour,20
Valkyrie,20
Dancer,20
Soldier,20
FE8_Necromancer,20
FE8_Fleet,20
FE8_Phantom,20
FE8_Revenant,20
FE8_Entombed,20
FE8_Bonewalker,20
FE8_BonewalkerBow,20
FE8_Wight,20
FE8_WightBow,20
FE8_Bael,20
FE8_ElderBael,20
FE8_Cyclops1,20
FE8_MautheDoog,20
FE8_Gwyllgi,20
FE8_Tarvos,20
FE8_Maelduin,20
FE8_Mogall,20
FE8_ArchMogall,20
FE8_Gorgon,20
FE8_GorgonEgg2,20
FE8_Gargoyle,20
FE8_Deathgoyle,20
FE8_DracoZombie,20
FE8_DemonKing,20
FE8_MannedBallista,20
FE8_MannedIronBallista,20
FE8_MannedKillerBallista,20
FE8_UnmannedBallista,20
FE8_UnmannedIronBallista,20
FE8_UnmannedKillerBallista,20
Child,20
ChildF,20
Civilian1,20
Civilian1F,20
FE8_Civilian2,20
FE8_Civilian2F,20
FE8_Peer,20
FE8_Queen,20
FE8_Prince,20
FE8_QueenNoHat,20
FE8_LightRune,20
FE8_FallenNils,20
FE8_Tent,20
FE8_Pontifex,20
FE8_DeadPeer,20
FE8_Cyclops2,20
FE8_ElderBael2,20
FE8_Journeyman2,20
FE8_Pupil2,20
NULL,20
ThiefF,20
RogueF,20
Nomad,20
NomadF,20
NomadTrooper,20
NomadTrooperF,20
Transporter,20
FaeManakete,20
DivineDragon,20
FireManakete,20
FireDragon,20
King,20
DemonDragon,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
NULL,20
