INLINE NewClassTable,,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
RoyLord,Lord_Name,RoyLord_Description,0x1,0x0,RoyLord_SMS,0x0,0x0,0x0,18,3,3,4,5,0,6,5,60,20,20,20,20,20,20,3,90,45,40,45,15,12,40,0,0,0,0,0,0,UnlockEirika|IsLord,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,RoyLord_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
RoyGreatLord,GreatLord_Name,RoyGreatLord_Description,0x2,RoyLord,RoyGreatLord_SMS,0x0,0x0,0x0,22,5,6,6,7,5,8,6,60,25,25,25,25,25,25,3,60,35,30,30,35,10,15,4,2,3,2,2,5,IsPromoted|UnlockEirika|IsLord,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,RoyLord_Anims|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,WaterwalkingInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
EphraimGreatLord,GreatLord_Name,EphraimGreatLord_Description,0x3,0x0,EphraimGreatLord_SMS,0x0,Brigand_ClassCard,0x0,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,3,90,45,40,45,15,15,40,4,2,3,2,2,5,IsPromoted|UnlockEphraim|IsLord|MountedAid|HasCanto|HorseIcon,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,EphraimGreatLord_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
EirikaGreatLord,GreatLord_Name,EirikaGreatLord_Description,0x4,0x0,EirikaGreatLord_SMS,0x0,Brigand_ClassCard,0x0,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,3,90,45,40,45,15,20,40,4,2,2,1,3,5,IsPromoted|UnlockEirika|IsLord|MountedAid|HasCanto|HorseIcon|SwordmasterUnlock,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,EirikaGreatLord_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType|SwordType
Cavalier,Cavalier_Name,Cavalier_Description,0x5,Paladin,Cavalier_SMS,0x0,Cavalier_ClassCard,0x0,20,5,2,5,6,0,9,7,60,20,20,20,20,20,25,3,75,35,40,28,15,15,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,ERank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Cavalier_Anims|IsPointer,CavalryMovementCost|IsPointer,RainCavalryMovementCost|IsPointer,SnowCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
CavalierF,Cavalier_Name,Cavalier_Description,0x6,PaladinF,Cavalier_SMS,0x0,Cavalier_ClassCard,0x0,18,5,3,3,6,0,9,7,60,20,20,20,20,20,25,3,75,35,40,28,15,15,30,1,0,2,2,0,2,MountedAid|HasCanto|HorseIcon,ERank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CavalierF_Anims|IsPointer,CavalryMovementCost|IsPointer,RainCavalryMovementCost|IsPointer,SnowCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Paladin,Paladin_Name,Paladin_Description,0x7,Cavalier,Paladin_SMS,0x0,Paladin_ClassCard,0x0,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,3,70,25,30,18,12,20,25,2,1,1,1,2,1,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Paladin_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
PaladinF,Paladin_Name,Paladin_Description,0x8,CavalierF,Paladin_SMS,0x0,Paladin_ClassCard,0x0,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,3,70,25,35,25,12,25,25,1,1,1,2,1,2,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,PaladinF_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Knight,Knight_Name,Knight_Description,0x9,General,Knight_SMS,0x1,Knight_ClassCard,0x0,17,5,2,0,9,0,13,4,60,20,20,20,20,20,20,3,80,40,30,15,28,20,25,0,0,0,0,0,0,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Knight_Anims|IsPointer,ArmorMovementCost|IsPointer,RainArmorMovementCost|IsPointer,SnowArmorMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,ArmorType
