INLINE PromotionItemTable,Promotion Item ID,##UNKNOWN##,Promotion Class List Pointer,Promo Item Usability Pointer
0x0,HeroCrest,0x0,HeroCrestPromotionTable|IsPointer,0x0
0x1,KnightCrest,0x0,KnightCrestPromotionTable|IsPointer,0x0
0x2,OrionsBolt,0x0,OrionsBoltPromotionTable|IsPointer,0x0
0x3,ElysianWhip,0x0,ElysianWhipPromotionTable|IsPointer,0x0
0x4,GuidingRing,0x0,GuidingRingPromotionTable|IsPointer,0x0
0x5,MasterSeal,0x0,MasterSealPromotionTable|IsPointer,0x0
0x6,HeavenSealDUMMY,0x0,HeavenSealPromotionTable|IsPointer,PromoLordCheck|IsPointer|1
0x7,OceanSeal,0x0,OceanSealPromotionTable|IsPointer,0x0
0x8,LunarBrace,0x0,LunarBracePromotionTable|IsPointer,PromoLordCheck|IsPointer|1
0x9,SolarBrace,0x0,SolarBracePromotionTable|IsPointer,PromoLordCheck|IsPointer|1
End of Table,0xFFFF,0x0,0x0,0x0
