0x809B10,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Nothing,0x0,0x0,0x0,0x0,ItemSword,0x0,0x0,0x0,0,0,0,0,0,0x0,0,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
IronSword,IronSword_Name,IronSword_Description,0x0,0x1,ItemSword,IsWeapon,0x0,0x0,46,5,85,5,0,0x11,10,ERank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SlimSword,SlimSword_Name,SlimSword_Description,0x0,0x2,ItemSword,IsWeapon,0x0,0x0,30,3,95,2,5,0x11,16,ERank,SlimSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SteelSword,SteelSword_Name,SteelSword_Description,0x0,0x3,ItemSword,IsWeapon,0x0,0x0,30,8,70,10,0,0x11,20,DRank,SteelSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SilverSword,SilverSword_Name,SilverSword_Description,0x0,0x4,ItemSword,IsWeapon,0x0,0x0,20,13,75,8,0,0x11,75,ARank,SilverSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
IronBlade,IronBlade_Name,IronBlade_Description,0x0,0x5,ItemSword,IsWeapon,0x0,0x0,35,9,65,12,0,0x11,28,DRank,IronBlade_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SteelBlade,SteelBlade_Name,SteelBlade_Description,0x0,0x6,ItemSword,IsWeapon,0x0,0x0,25,11,60,14,0,0x11,50,CRank,SteelBlade_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
SilverBlade,SilverBlade_Name,SilverBlade_Description,0x0,0x7,ItemSword,IsWeapon,0x0,0x0,15,14,55,13,0,0x11,120,ARank,SilverBlade_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Poison Sword,PoisonSword_Name,PoisonSword_Description,0x0,0x8,ItemSword,IsWeapon,0x0,0x0,40,3,70,6,0,0x11,0,DRank,PoisonSword_ItemIcon,0x0,PoisonEffect,1,0x0,0x0,0x0
Rapier,Rapier_Name,Rapier_Description,0x0,0x9,ItemSword,IsWeapon|Unsellable|EirikaLock,0x0,LordWeaponEffectiveness|IsPointer,25,5,95,5,10,0x11,80,NoRank,Rapier_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
