INLINE SpellAssociationTable,Item ID,N/A,Chars to Display (1 or 2),N/A,Spell Animation,N/A,Map Effect Proc,Damage,Facing Direction (Map),Color When Hit,N/A
0x0,IronSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1,IronBlade,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x2,SteelSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x3,SilverSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x4,SlimSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x5,PoisonSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x6,BraveSword,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x7,LightBrand,0x0,0x2,0x0,SpellAnim_Lightning,0x0,0x0,0x1,0x0,0x5,0x0
0x8,Armorslayer,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x9,Rapier,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xa,FE8_ManiKattiDUMMY,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xb,KillingEdge,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xc,Lancereaver,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xd,FE8_Zanbato,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xe,IronLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0xf,SteelLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x10,SilverLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x11,SlimLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x12,ToxinLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x13,BraveLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x14,Javelin,0x0,0x2,0x0,SpellAnim_Javelin,0x0,0x0,0x1,0x0,0x0,0x0
0x15,Horseslayer,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x16,KillerLance,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x17,Axereaver,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x18,FE8_HeavySpear,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x19,FE8_ShortSpear,0x0,0x2,0x0,SpellAnim_Javelin,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,IronAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,SteelAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,SilverAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,PoisonAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,BraveAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,HandAxe,0x0,0x2,0x0,SpellAnim_HandAxe,0x0,0x0,0x1,0x0,0x0,0x0
0x20,Hammer,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x21,KillerAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x22,FE8_Swordslayer,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x23,Swordreaver,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x24,DevilAxe,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x25,Halberd,0x0,0x2,0x0,SpellAnim_None,0x0,0x0,0x1,0x0,0x0,0x0
0x26,IronBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x27,SteelBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x28,SilverBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x29,PoisonBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,KillerBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,BraveBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,ShortBow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,Longbow,0x0,0x2,0x0,SpellAnim_Arrow,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,Ballista,0x0,0x2,0x0,SpellAnim_Ballista,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,IronBallista,0x0,0x2,0x0,SpellAnim_Ballista,0x0,0x0,0x1,0x0,0x0,0x0
