0x95dfa6,Class Selection 1,Class Selection 2
RoyLord,RoyGreatLord,0x0
RoyGreatLord,0x0,0x0
Mercenary,Hero,0x0
MercenaryF #WIP,HeroF,0x0
Hero,0x0,0x0
HeroF,0x0,0x0
Myrmidon,Swordmaster,0x0
MyrmidonF,SwordmasterF,0x0
Swordmaster,0x0,0x0
SwordmasterF,0x0,0x0
Fighter,Warrior,0x0
Warrior,0x0,0x0
Brigand,Berserker,0x0
Pirate,Berserker,0x0
Berserker,0x0,0x0
Soldier,0x0,0x0
Knight,General,0x0
KnightF,GeneralF,0x0
General,0x0,0x0
GeneralF,0x0,0x0
Archer,Sniper,0x0
ArcherF,SniperF,0x0
Sniper,0x0,0x0
SniperF,0x0,0x0
Thief,0x0,0x0
ThiefF,0x0,0x0
Rogue #WIP,0x0,0x0
RogueF #WIP,0x0,0x0
Assassin #WIP,0x0,0x0
AssassinF #WIP,0x0,0x0
Cavalier,Paladin,0x0
CavalierF #WIP,PaladinF,0x0
Paladin,0x0,0x0
PaladinF #WIP,0x0,0x0
GreatKnight #WIP,0x0,0x0
GreatKnightF #WIP,0x0,0x0
Nomad,NomadTrooper,0x0
NomadF,NomadTrooperF,0x0
NomadTrooper,0x0,0x0
NomadTrooperF,0x0,0x0
Priest,Bishop,0x0
Cleric,BishopF,0x0
Monk #WIP,Bishop,0x0
Bishop,0x0,0x0
BishopF,0x0,0x0
Troubadour,Valkyrie,0x0
Valkyrie,0x0,0x0
Mage,Sage,0x0
MageF,SageF,0x0
Sage,0x0,0x0
SageF,0x0,0x0
Unused_GorgonEgg,0x0,0x0
MageKnight #WIP,0x0,0x0
MageKnightF #WIP,0x0,0x0
Shaman,Druid,0x0
ShamanF,DruidF,0x0
Druid,0x0,0x0
DruidF,0x0,0x0
Summoner #WIP,0x0,0x0
PegasusKnight,Falcoknight,0x0
Falcoknight,0x0,0x0
WyvernRider,WyvernLord,0x0
WyvernRiderF,WyvernLordF,0x0
WyvernLord,0x0,0x0
WyvernLordF,0x0,0x0
WyvernKnight #WIP,0x0,0x0
WyvernKnightF #WIP,0x0,0x0
Bard,0x0,0x0
Dancer,0x0,0x0
Transporter,0x0,0x0
FaeManakete,0x0,0x0
DivineDragon,0x0,0x0
FireManakete,0x0,0x0
FireDragon,0x0,0x0
King,0x0,0x0
DemonDragon,0x0,0x0
Civilian,0x0,0x0
CivilianF,0x0,0x0
Child,0x0,0x0
ChildF,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
MannedBallista,0x0,0x0
MannedIronBallista,0x0,0x0
MannedKillerBallista,0x0,0x0
UnmannedBallista,0x0,0x0
UnmannedIronBallista,0x0,0x0
UnmannedKillerBallista,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
,0x0,0x0
0x7f,0x0,0x2
