INLINE ClassLevelUpSkillTable,Skill Pointer
RoyLord,0x0
RoyGreatLord,0x0
FE8_EphraimGreatLord,0x0
FE8_EirikaGreatLord,0x0
Cavalier,0x0
FE8_CavalierF,0x0
Paladin,0x0
FE8_PaladinF,0x0
Knight,0x0
KnightF,0x0
General,0x0
GeneralF,0x0
Thief,0x0
FE8_Manakete1,0x0
Mercenary,0x0
FE8_MercenaryF,0x0
Hero,0x0
HeroF,0x0
Myrmidon,0x0
MyrmidonF,0x0
Swordmaster,0x0
SwordmasterF,0x0
FE8_Assassin,0x0
FE8_AssassinF,0x0
Archer,0x0
ArcherF,0x0
Sniper,0x0
SniperF,0x0
FE8_Ranger,0x0
FE8_RangerF,0x0
WyvernRider,0x0
WyvernRiderF,0x0
WyvernLord,0x0
WyvernLordF,0x0
FE8_WyvernKnight,0x0
FE8_WyvernKnightF,0x0
Mage,0x0
MageF,0x0
Sage,0x0
SageF,0x0
FE8_MageKnight,0x0
FE8_MageKnightF,0x0
Bishop,0x0
BishopF,0x0
Shaman,0x0
ShamanF,0x0
Druid,0x0
DruidF,0x0
FE8_Summoner,0x0
FE8_SummonerF,0x0
FE8_Rogue,0x0
FE8_GorgonEgg1,0x0
FE8_GreatKnight,0x0
FE8_GreatKnightF,0x0
FE8_Recruit2,0x0
FE8_Journeyman3,0x0
FE8_Pupil3,0x0
FE8_Recruit3,0x0
FE8_Manakete2,0x0
FE8_ManaketeF,0x0
FE8_Journeyman1,0x0
FE8_Pupil1,0x0
Fighter,0x0
Warrior,0x0
Brigand,0x0
Pirate,0x0
Berserker,0x0
FE8_Monk,0x0
Priest,0x0
Bard,0x0
FE8_Recruit1,0x0
PegasusKnight,0x0
Falcoknight,0x0
Cleric,0x0
Troubadour,0x0
Valkyrie,0x0
Dancer,0x0
Soldier,0x0
FE8_Necromancer,0x0
FE8_Fleet,0x0
FE8_Phantom,0x0
FE8_Revenant,0x0
FE8_Entombed,0x0
FE8_Bonewalker,0x0
FE8_BonewalkerBow,0x0
FE8_Wight,0x0
FE8_WightBow,0x0
FE8_Bael,0x0
FE8_ElderBael,0x0
FE8_Cyclops1,0x0
FE8_MautheDoog,0x0
FE8_Gwyllgi,0x0
FE8_Tarvos,0x0
FE8_Maelduin,0x0
FE8_Mogall,0x0
FE8_ArchMogall,0x0
FE8_Gorgon,0x0
FE8_GorgonEgg2,0x0
FE8_Gargoyle,0x0
FE8_Deathgoyle,0x0
FE8_DracoZombie,0x0
FE8_DemonKing,0x0
FE8_MannedBallista,0x0
FE8_MannedIronBallista,0x0
FE8_MannedKillerBallista,0x0
FE8_UnmannedBallista,0x0
FE8_UnmannedIronBallista,0x0
FE8_UnmannedKillerBallista,0x0
Child,0x0
ChildF,0x0
Civilian1,0x0
Civilian1F,0x0
FE8_Civilian2,0x0
FE8_Civilian2F,0x0
FE8_Peer,0x0
FE8_Queen,0x0
FE8_Prince,0x0
FE8_QueenNoHat,0x0
FE8_LightRune,0x0
FE8_FallenNils,0x0
FE8_Tent,0x0
FE8_Pontifex,0x0
FE8_DeadPeer,0x0
FE8_Cyclops2,0x0
FE8_ElderBael2,0x0
FE8_Journeyman2,0x0
FE8_Pupil2,0x0
0,0x0
ThiefF,0x0
RogueF,0x0
Nomad,0x0
NomadF,0x0
NomadTrooper,0x0
NomadTrooperF,0x0
Transporter,0x0
FaeManakete,0x0
DivineDragon,0x0
FireManakete,0x0
FireDragon,0x0
King,0x0
DemonDragon,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
