INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
RoyLord,0x0
RoyGreatLord,0x0
FE8_EphraimGreatLord,CantoID
FE8_EirikaGreatLord,CantoID
Cavalier,CantoID
FE8_CavalierF,CantoID
Paladin,CantoID
FE8_PaladinF,CantoID
Knight,0x0
KnightF,0x0
General,0x0
GeneralF,0x0
Thief,CunningID
FE8_Manakete1,0x0
Mercenary,0x0
FE8_MercenaryF,0x0
Hero,0x0
HeroF,0x0
Myrmidon,0x0
MyrmidonF,0x0
Swordmaster,CritUpID
SwordmasterF,CritUpID
FE8_Assassin,CunningID
FE8_AssassinF,CunningID
Archer,0x0
ArcherF,0x0
Sniper,CritUpID
SniperF,CritUpID
FE8_Ranger,CantoID
FE8_RangerF,CantoID
WyvernRider,CantoID
WyvernRiderF,CantoID
WyvernLord,CantoID
WyvernLordF,CantoID
FE8_WyvernKnight,CantoID
FE8_WyvernKnightF,CantoID
Mage,0x0
MageF,0x0
Sage,0x0
SageF,0x0
FE8_MageKnight,CantoID
FE8_MageKnightF,CantoID
Bishop,0x0
BishopF,0x0
Shaman,0x0
ShamanF,0x0
Druid,0x0
DruidF,0x0
FE8_Summoner,SummonID
FE8_SummonerF,SummonID
FE8_Rogue,CunningID
FE8_GorgonEgg1,0x0
FE8_GreatKnight,CantoID
FE8_GreatKnightF,CantoID
FE8_Recruit2,0x0
FE8_Journeyman3,0x0
FE8_Pupil3,0x0
FE8_Recruit3,0x0
FE8_Manakete2,0x0
FE8_ManaketeF,0x0
FE8_Journeyman1,0x0
FE8_Pupil1,0x0
Fighter,0x0
Warrior,0x0
Brigand,0x0
Pirate,0x0
Berserker,CritUpID
FE8_Monk,0x0
Priest,0x0
Bard,DanceID
FE8_Recruit1,0x0
PegasusKnight,CantoID
Falcoknight,CantoID
Cleric,0x0
Troubadour,CantoID
Valkyrie,CantoID
Dancer,DanceID
Soldier,0x0
FE8_Necromancer,SummonID
FE8_Fleet,0x0
FE8_Phantom,0x0
FE8_Revenant,0x0
FE8_Entombed,0x0
FE8_Bonewalker,0x0
FE8_BonewalkerBow,0x0
FE8_Wight,0x0
FE8_WightBow,0x0
FE8_Bael,0x0
FE8_ElderBael,0x0
FE8_Cyclops1,0x0
FE8_MautheDoog,0x0
FE8_Gwyllgi,0x0
FE8_Tarvos,0x0
FE8_Maelduin,0x0
FE8_Mogall,0x0
FE8_ArchMogall,0x0
FE8_Gorgon,0x0
FE8_GorgonEgg2,0x0
FE8_Gargoyle,0x0
FE8_Deathgoyle,0x0
FE8_DracoZombie,0x0
FE8_DemonKing,SummonID
FE8_MannedBallista,0x0
FE8_MannedIronBallista,0x0
FE8_MannedKillerBallista,0x0
FE8_UnmannedBallista,0x0
FE8_UnmannedIronBallista,0x0
FE8_UnmannedKillerBallista,0x0
Child,0x0
ChildF,0x0
Civilian1,0x0
Civilian1F,0x0
FE8_Civilian2,0x0
FE8_Civilian2F,0x0
FE8_Peer,0x0
FE8_Queen,0x0
FE8_Prince,0x0
FE8_QueenNoHat,0x0
FE8_LightRune,0x0
FE8_FallenNils,0x0
FE8_Tent,0x0
FE8_Pontifex,0x0
FE8_DeadPeer,0x0
FE8_Cyclops2,0x0
FE8_ElderBael2,0x0
FE8_Journeyman2,0x0
FE8_Pupil2,0x0
,0x0
ThiefF,CunningID
RogueF,CunningID
Nomad,CantoID
NomadF,CantoID
NomadTrooper,CantoID
NomadTrooperF,CantoID
Transporter,SupplyID
FaeManakete,0x0
DivineDragon,0x0
FireManakete,0x0
FireDragon,0x0
King,0x0
DemonDragon,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
