INLINE PersonalSkillTable,Skill
None,0x0
Roy,0x0
Marcus,0x0
Alen,0x0
Lance,0x0
Wolt,0x0
Bors,0x0
Merlinus,0x0
Elen,0x0
Dieck,0x0
Ward,0x0
Lot,0x0
Shanna,0x0
Chad,0x0
Lugh,0x0
Clarine,0x0
Rutger,0x0
Saul,0x0
Dorothy,0x0
Sue,0x0
Zelot,0x0
Trec,0x0
Noah,0x0
Astolfo,0x0
Lilina,0x0
Barthe,0x0
Ogier,0x0
Gwendolyn,0x0
Fir,0x0
Sin,0x0
Geese,0x0
Gonzalez,0x0
Klein,0x0
Thea,0x0
Larum,0x0
Elffin,0x0
Echidna,0x0
Bartre,0x0
Raigh,0x0
Cath,0x0
Melady,0x0
Perceval,0x0
Cecilia,0x0
Sophia,0x0
Igrene,0x0
Garrett,0x0
Fae,0x0
Hugh,0x0
Zeiss,0x0
Douglas,0x0
Niime,0x0
Juno,0x0
Dayan,0x0
Yoder,0x0
Karel,0x0
NarcianTrial,0x0
GalleTrial,0x0
HectorTrial,0x0
BrunnyaTrial,0x0
MurdockTrial,0x0
EliwoodTrial,0x0
ZephielTrial,0x0
GuinivereTrial,0x0
RESERVEDCHARACTER1,0x0
RESERVEDCHARACTER2,0x0
RESERVEDCHARACTER3,0x0
RESERVEDCHARACTER4,0x0
RESERVEDCHARACTER5,0x0
RESERVEDCHARACTER6,0x0
RESERVEDCHARACTER7,0x0
RESERVEDCHARACTER8,0x0
RESERVEDCHARACTER9,0x0
RESERVEDCHARACTER10,0x0
RESERVEDCHARACTER11,0x0
RESERVEDCHARACTER12,0x0
RESERVEDCHARACTER13,0x0
RESERVEDCHARACTER14,0x0
RESERVEDCHARACTER15,0x0
RESERVEDCHARACTER16,0x0
Damas,0x0
Ruud,0x0
Slater,0x0
Erik,0x0
Dory,0x0
Wagner,0x0
Debias,0x0
Legance,0x0
Henning,0x0
Scott,0x0
Nord,0x0
Orlo,0x0
Roberts,0x0
Zinque,0x0
Scollan,0x0
Morgan,0x0
Ein,0x0
Guerrero,0x0
Flaer,0x0
Randy,0x0
Maggie,0x0
Rose,0x0
Oates,0x0
Raith,0x0
Narcian,0x0
Windham,0x0
Arcardo,0x0
Martel,0x0
Sigune,0x0
Roartz,0x0
Tick,0x0
Monke,0x0
Kel,0x0
Thoril,0x0
Brakul,0x0
Kudoka,0x0
Marral,0x0
Kabul,0x0
Chan,0x0
Murdock,0x0
Galle,0x0
Peres,0x0
Zephiel,0x0
Brunnya,0x0
Jahn,0x0
IdunnHuman,0x0
IdunnDragon,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
GenericBanditCh1,0x0
GenericBernCh2,0x0
GenericBernCh3,0x0
GenericLausCh4,0x0
GenericPirateCh4,0x0
GenericBanditCh5,0x0
GenericThriaCh6,0x0
GenericBernCh7,0x0
GenericRebelCh7,0x0
GenericRebelCommanderCh7,0x0
GenericRebelCh8,0x0
GenericThiefCh8,0x0
GenericBanditCh8x,0x0
GenericBanditWestIslesCh9,0x0
GenericPirateWestIslesCh9,0x0
GenericArmaghCh10A,0x0
GenericPirateWestIslesCh10A,0x0
GenericEburacumCh11A,0x0
GenericBanditWestIslesCh11A,0x0
GenericSoldierWestIslesCh10B,0x0
GenericBanditWestIslesCh10B,0x0
GenericEidynaCh11B,0x0
GenericEidynaAggroCh11B,0x0
GenericBanditWestIslesCh11B,0x0
GenericJuteauxCh12,0x0
GenericBernCh12,0x0
GenericBanditCh12x,0x0
GenericEtruriaCh13,0x0
GenericBernCh13,0x0
GenericBernCh14,0x0
GenericBanditCh14,0x0
GenericManaketeCh14,0x0
GenericBernCh14x,0x0
GenericEtruriaCh15,0x0
GenericBernCh15,0x0
GenericBanditCh15,0x0
GenericEtruriaCh16,0x0
GenericBernCh16,0x0
GenericManaketeCh16,0x0
