Name,FE6 ID,FE8 Target ID,Priority
MUS_FireEmblemTheme,0x1,0x1,Highest
MUS_DeerOfThePlains,i,i,High
MUS_WildFrontier,i,i,High
MUS_DistantLands,i,i,High
MUS_TheKingdomOfBern,i,i,High
MUS_DragonSanctuary,i,i,High
MUS_LegendaryInheritance,i,i,High
MUS_MessengerFromTheDarkness,i,i,High
MUS_DisquietingSteps,i,i,High
MUS_BeyondDistantSkies,i,i,High
MUS_OneWill,i,i,High
MUS_BeholdingNaturesBeauty,i,i,High
MUS_BeneathANewLight,i,i,High
MUS_ThePathToGreatness,i,i,High
MUS_ScarsOfTheScouring,i,i,High
MUS_ShadowApproaches,i,i,High
MUS_MarchToDeliverance,i,i,High
MUS_BindingTies,i,i,High
MUS_WinningRoad,i,i,High
MUS_PoemOfTheSoftWind,i,i,Highest
MUS_AtTheFinalDragon,i,i,Highest
MUS_BattleForTomorrow,i,i,Highest
MUS_InTheNameOfBern,i,i,Highest
MUS_BattleForWhoseSake,i,i,Highest
MUS_PriestessInTheDark,i,i,Highest
MUS_Curing,i,i,Highest
MUS_Healing,i,i,Highest
MUS_ToTheHeights,i,i,Highest
MUS_Blank1,i,i,Highest
MUS_ICampaign,i,i,Highest
MUS_IIRecapturingTheRoyalCapital,i,i,Highest
MUS_IIIInvisibleEnemy,i,i,Highest
MUS_IVFinalChapter,i,i,Highest
MUS_PrepareToCharge,i,i,Highest
MUS_AnUnexpectedCaller,i,i,Highest
MUS_WhenTheRushComes,i,i,Highest
MUS_CogsOfFate,i,i,Highest
MUS_DistantUtopia,i,i,Highest
MUS_Triumph,i,i,Highest
MUS_IntoTheShadowOfTriumph,i,i,Highest
MUS_TheDarkPriestess,i,i,Highest
MUS_TheKingOfBern,i,i,Highest
MUS_PrincessOfDestiny,i,i,Highest
MUS_Suspicious,i,i,Highest
MUS_Dignified,i,i,Highest
MUS_Melancholic,i,i,Highest
MUS_Blank2,i,i,Highest
MUS_Blank3,i,i,Highest
MUS_FinalFarewell,i,i,Highest
MUS_GoingMyWay,i,i,Highest
MUS_JoinUs,i,i,Highest
MUS_Epilogue,i,i,Highest
MUS_BattleResults,i,i,Highest
MUS_AfterTheWar,i,i,Highest
MUS_GameOver,i,i,Highest
MUS_Shop,i,i,Highest
MUS_ArenaEntrance,i,i,Highest
MUS_ArenaBattle,i,i,Highest
MUS_HappinessAbounds,i,i,Highest
MUS_MainThemeArrangement,i,i,Highest
MUS_ShockingTruth1,i,i,Highest
MUS_ShockingTruth2,i,i,Highest
MUS_Talking,i,i,Highest
MUS_PerilousDance,i,i,Highest
MUS_CaptivatingDance,i,i,Highest
MUS_PreludeTellingALegend,i,i,Highest
MUS_EternalWind,i,i,Highest
MUS_Unknown1,i,i,Highest
MUS_WithinSadness,i,i,Highest
MUS_ArenaVictory,i,i,Highest
MUS_WhatCameBefore,i,i,Highest
MUS_Attack,i,i,Highest
MUS_Revenge,i,i,Highest
MUS_Unknown2,i,i,Highest
SND_LarumSound,0xE0,0x148,Low
SND_LarumHeart,0xE1,0x149,Low
SND_ElffinBirdTweet,0xED,0x1FA,Low
SND_ElffinHarp,0xEE,0x1FB,Low
SND_Apocalypse1,0x104,0x104,Low
SND_Apocalypse2,0x105,0x105,Lowest1
SND_Apocalypse3,0x106,0x106,Low
SND_Aureola1,0x12A,0x12A,Lowest1
SND_Aureola2,0x12B,0x12B,Low
SND_Aureola3,0x12C,0x12C,Low
SND_Forblaze1,0x12D,0x12D,Low
SND_Forblaze2,0x12E,0x12E,Lowest1
SND_Forblaze3,0x12F,0x12F,Low
SND_RiverFreezing,0xC6,0xC6,Low
SND_IdunnThunder,0x140,0xAD,Low
SND_IdunnSwoosh,0x141,0x143,Low
SND_IdunnShortNoise,0x142,0x144,Low
SND_IdunnDodge,0x143,0xBB,Medium2
SND_IdunnTransformRoar,0x144,0x2BA,Medium2
SND_IdunnTransformStomp,0x13F,0xAE,Medium2
