0x67C968,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Nord(Druid)  Lv:5,0x53,0x1E,0x00,0x2C,0x12,0x1D,0x12,0x1D,0x40,0x00,0x00,0x00,0x03,0x03,0x00,0x20
Armagh(Fighter)  Lv:10,0x7C,0x0A,0x53,0x55,0x0B,0x0A,0x0B,0x0A,0x1C,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Armagh(Fighter)  Lv:10,0x7C,0x0A,0x53,0x55,0x0D,0x0A,0x0D,0x0A,0x20,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Fighter)  Lv:11,0x7C,0x0A,0x53,0x5D,0x0B,0x0B,0x0B,0x0B,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Fighter)  Lv:11,0x7C,0x0A,0x53,0x5D,0x0D,0x0B,0x0D,0x0B,0x1C,0x20,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Mercenary)  Lv:11,0x7C,0x02,0x53,0x5D,0x0B,0x0C,0x0B,0x0C,0x03,0x68,0x00,0x00,0x00,0x00,0x01,0x00
Armagh(Mercenary)  Lv:12,0x7C,0x02,0x53,0x65,0x0D,0x0C,0x0D,0x0C,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Armagh(Mercenary)  Lv:11,0x7C,0x02,0x53,0x5D,0x0A,0x0D,0x0A,0x0D,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Armagh(Fighter)  Lv:14,0x7C,0x0A,0x53,0x75,0x0C,0x0D,0x0C,0x0D,0x26,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Armagh(Archer)  Lv:10,0x7C,0x10,0x53,0x55,0x0E,0x0D,0x0E,0x0D,0x27,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Armagh(Mercenary)  Lv:10,0x7C,0x02,0x53,0x55,0x0C,0x12,0x0C,0x12,0x0C,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Armagh(Fighter)  Lv:12,0x7C,0x0A,0x53,0x65,0x0B,0x13,0x0B,0x13,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Armagh(Fighter)  Lv:11,0x7C,0x0A,0x53,0x5D,0x0D,0x13,0x0D,0x13,0x1B,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Armagh(Fighter)  Lv:11,0x7C,0x0A,0x53,0x5D,0x0B,0x14,0x0B,0x14,0x1B,0x20,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Fighter)  Lv:11,0x7C,0x0A,0x53,0x5D,0x0D,0x14,0x0D,0x14,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Mercenary)  Lv:12,0x7C,0x02,0x53,0x65,0x0A,0x13,0x0A,0x13,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Mercenary)  Lv:11,0x7C,0x02,0x53,0x5D,0x0E,0x13,0x0E,0x13,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Mercenary)  Lv:11,0x7C,0x02,0x53,0x5D,0x0E,0x16,0x0E,0x16,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Armagh(Berserker)  Lv:1,0x7C,0x33,0x53,0x0D,0x0C,0x15,0x0C,0x15,0x1C,0x68,0x00,0x00,0x00,0x03,0x02,0x00
Armagh(Archer)  Lv:13,0x7C,0x10,0x53,0x6D,0x0A,0x16,0x0A,0x16,0x27,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
Armagh(Shaman)  Lv:12,0x7C,0x1C,0x53,0x65,0x0E,0x1E,0x0E,0x1E,0x3F,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Armagh(Shaman)  Lv:12,0x7C,0x1C,0x53,0x65,0x13,0x1E,0x13,0x1E,0x40,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Armagh(Archer)  Lv:10,0x7C,0x10,0x53,0x55,0x06,0x13,0x06,0x13,0x27,0x00,0x00,0x00,0x03,0x03,0x29,0x00
