0x681F5C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:9,0x01,0x01,0x00,0x49,0x02,0x1E,0x02,0x1E,0x0B,0x01,0x65,0x00,0x00,0x00,0x00,0x00
Lilina(Mage)  Lv:7,0x26,0x19,0x01,0x39,0x02,0x1F,0x02,0x1F,0x34,0x33,0x68,0x00,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:10,0x1B,0x20,0x01,0x51,0x01,0x1C,0x01,0x1C,0x01,0x10,0x16,0x11,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:10,0x1C,0x20,0x01,0x51,0x01,0x1E,0x01,0x1E,0x01,0x10,0x16,0x11,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:8,0x21,0x0A,0x01,0x41,0x05,0x1C,0x05,0x1C,0x1B,0x22,0x20,0x1C,0x00,0x00,0x00,0x00
Lot(Fighter)  Lv:9,0x22,0x0A,0x01,0x49,0x05,0x1E,0x05,0x1E,0x1B,0x22,0x20,0x1C,0x00,0x00,0x00,0x00
Ogier(Mercenary)  Lv:9,0x19,0x02,0x01,0x49,0x06,0x1D,0x06,0x1D,0x02,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:9,0x25,0x18,0x01,0x49,0x03,0x1D,0x03,0x1D,0x33,0x34,0x68,0x00,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:9,0x14,0x34,0x01,0x49,0x03,0x1C,0x03,0x1C,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:10,0x31,0x2A,0x01,0x51,0x04,0x1D,0x04,0x1D,0x11,0x16,0x00,0x00,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:11,0x02,0x24,0x01,0x59,0x03,0x1E,0x03,0x1E,0x43,0x51,0x4A,0x68,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x02,0x1D,0x02,0x1D,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
