0x67DA14,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:14,0x01,0x01,0x00,0x71,0x02,0x12,0x02,0x12,0x0B,0x01,0x65,0x00,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:8,0x1F,0x22,0x01,0x41,0x06,0x12,0x06,0x12,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:16,0x1C,0x20,0x01,0x81,0x02,0x10,0x02,0x10,0x03,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:12,0x09,0x0C,0x01,0x61,0x04,0x10,0x04,0x10,0x10,0x16,0x12,0x64,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:14,0x0D,0x10,0x01,0x71,0x01,0x11,0x01,0x11,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:3,0x3D,0x05,0x01,0x18,0x03,0x11,0x03,0x11,0x1F,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:13,0x21,0x0A,0x01,0x69,0x05,0x11,0x05,0x11,0x1B,0x22,0x20,0x23,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:16,0x31,0x2A,0x01,0x81,0x04,0x12,0x04,0x12,0x13,0x16,0x12,0x68,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:17,0x02,0x24,0x01,0x89,0x01,0x13,0x01,0x13,0x43,0x51,0x4A,0x52,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:11,0x14,0x34,0x01,0x59,0x03,0x13,0x03,0x13,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:13,0x25,0x18,0x01,0x69,0x05,0x13,0x05,0x13,0x33,0x34,0x36,0x37,0x00,0x00,0x00,0x00
Sue(Nomad)  Lv:13,0x05,0x27,0x01,0x69,0x02,0x14,0x02,0x14,0x27,0x2E,0x28,0x2C,0x00,0x00,0x00,0x00
Rutger(Myrmidon)  Lv:15,0x17,0x06,0x01,0x79,0x04,0x14,0x04,0x14,0x0C,0x01,0x68,0x03,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x03,0x15,0x03,0x15,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
