0x67E22C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Randy(Hero)  Lv:10,0x5A,0x04,0x00,0x54,0x1B,0x03,0x1B,0x03,0x08,0x00,0x00,0x00,0x03,0x03,0x00,0x20
Bern(Hero)  Lv:3,0x88,0x04,0x5A,0x1D,0x13,0x09,0x13,0x09,0x0C,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Mercenary)  Lv:17,0x88,0x02,0x5A,0x8D,0x10,0x07,0x10,0x07,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Mercenary)  Lv:16,0x88,0x02,0x5A,0x85,0x0F,0x06,0x0F,0x06,0x03,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Mercenary)  Lv:15,0x88,0x02,0x5A,0x7D,0x0F,0x08,0x0F,0x08,0x03,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Mercenary)  Lv:16,0x88,0x02,0x5A,0x85,0x11,0x09,0x11,0x09,0x03,0x00,0x00,0x00,0x00,0x00,0x32,0x00
Bern(Hero)  Lv:5,0x88,0x04,0x5A,0x2D,0x1B,0x0A,0x1B,0x0A,0x03,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Mercenary)  Lv:15,0x88,0x02,0x5A,0x7D,0x19,0x09,0x19,0x09,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Mercenary)  Lv:16,0x88,0x02,0x5A,0x85,0x17,0x09,0x17,0x09,0x03,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Mercenary)  Lv:16,0x88,0x02,0x5A,0x85,0x19,0x0B,0x19,0x0B,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Mercenary)  Lv:14,0x88,0x02,0x5A,0x75,0x17,0x0B,0x17,0x0B,0x0A,0x00,0x00,0x00,0x00,0x06,0x32,0x00
Bern(Mage)  Lv:15,0x88,0x18,0x5A,0x7D,0x1C,0x0E,0x1C,0x0E,0x36,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Manakete(Manakete)  Lv:2,0xB0,0x38,0x5A,0x15,0x1D,0x0E,0x1D,0x0E,0x53,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Mage)  Lv:14,0x88,0x18,0x5A,0x75,0x1D,0x0F,0x1D,0x0F,0x34,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Mage)  Lv:14,0x88,0x18,0x5A,0x75,0x0F,0x01,0x0F,0x01,0x37,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
Bern(Mage)  Lv:15,0x88,0x18,0x5A,0x7D,0x0B,0x03,0x0B,0x03,0x34,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Mage)  Lv:15,0x88,0x18,0x5A,0x7D,0x17,0x14,0x17,0x14,0x36,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Manakete(Manakete)  Lv:3,0xB0,0x38,0x5A,0x1D,0x18,0x14,0x18,0x14,0x53,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Manakete(Manakete)  Lv:1,0xB0,0x38,0x5A,0x0D,0x05,0x07,0x05,0x07,0x53,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Mage)  Lv:15,0x88,0x18,0x5A,0x7D,0x12,0x10,0x12,0x10,0x34,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Priest)  Lv:17,0x88,0x14,0x5A,0x8D,0x18,0x0A,0x18,0x0A,0x44,0x4B,0x00,0x00,0x0E,0x00,0x11,0x00
Bern(Priest)  Lv:17,0x88,0x14,0x5A,0x8D,0x10,0x08,0x10,0x08,0x45,0x00,0x00,0x00,0x0E,0x00,0x11,0x00
Bern(Bishop)  Lv:4,0x88,0x16,0x5A,0x25,0x1C,0x05,0x1C,0x05,0x3B,0x44,0x4C,0x00,0x00,0x00,0x12,0x00
Bern(Wyvern Lord)  Lv:3,0x88,0x2E,0x5A,0x1D,0x04,0x02,0x04,0x02,0x11,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x03,0x03,0x03,0x03,0x11,0x00,0x00,0x00,0x00,0x03,0x11,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x05,0x03,0x05,0x03,0x11,0x00,0x00,0x00,0x00,0x03,0x11,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x04,0x01,0x04,0x01,0x11,0x16,0x00,0x00,0x00,0x03,0x12,0x00
Bern(Wyvern Lord)  Lv:3,0x88,0x2E,0x5A,0x1D,0x1D,0x12,0x1D,0x12,0x12,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x1C,0x13,0x1C,0x13,0x11,0x00,0x00,0x00,0x00,0x06,0x11,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x1C,0x11,0x1C,0x11,0x11,0x00,0x00,0x00,0x00,0x06,0x11,0x00
Bern(Wyvern Rider)  Lv:14,0x88,0x2C,0x5A,0x75,0x1E,0x12,0x1E,0x12,0x11,0x16,0x00,0x00,0x00,0x06,0x12,0x00
