0x67E13C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:15,0x01,0x01,0x00,0x79,0x08,0x0E,0x08,0x0E,0x0B,0x01,0x65,0x04,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:9,0x1F,0x22,0x01,0x49,0x09,0x0D,0x09,0x0D,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:17,0x1C,0x20,0x01,0x89,0x09,0x0F,0x09,0x0F,0x03,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:13,0x09,0x0C,0x01,0x69,0x07,0x0F,0x07,0x0F,0x10,0x16,0x12,0x64,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:20,0x0D,0x10,0x01,0xA1,0x07,0x0D,0x07,0x0D,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:4,0x3D,0x05,0x01,0x21,0x08,0x0C,0x08,0x0C,0x1F,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:17,0x31,0x2A,0x01,0x89,0x0A,0x0E,0x0A,0x0E,0x13,0x16,0x12,0x68,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:18,0x02,0x24,0x01,0x91,0x08,0x10,0x08,0x10,0x43,0x50,0x4A,0x4D,0x00,0x00,0x00,0x00
Melady(Wyvern Rider)  Lv:10,0x37,0x2D,0x01,0x51,0x06,0x0E,0x06,0x0E,0x11,0x16,0x10,0x68,0x00,0x00,0x00,0x00
Dorothy(Archer)  Lv:18,0x0E,0x11,0x01,0x91,0x06,0x0C,0x06,0x0C,0x27,0x29,0x28,0x4D,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x06,0x10,0x06,0x10,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
