0x67E800,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Raith(Paladin)  Lv:8,0x5D,0x22,0x00,0x44,0x10,0x09,0x10,0x09,0x7E,0x00,0x00,0x00,0x03,0x03,0x00,0x20
Bern(Wyvern Rider)  Lv:18,0x8B,0x2C,0x5D,0x95,0x09,0x08,0x09,0x08,0x12,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Wyvern Rider)  Lv:17,0x8B,0x2C,0x5D,0x8D,0x18,0x00,0x18,0x00,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Wyvern Rider)  Lv:15,0x8B,0x2C,0x5D,0x7D,0x1A,0x00,0x1A,0x00,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Valkyrie)  Lv:1,0x8A,0x25,0x5D,0x0D,0x12,0x01,0x12,0x01,0x36,0x46,0x00,0x00,0x00,0x06,0x11,0x00
Etruria(Cavalier)  Lv:18,0x8A,0x20,0x5D,0x95,0x11,0x02,0x11,0x02,0x18,0x00,0x00,0x00,0x00,0x06,0x39,0x00
Etruria(Cavalier)  Lv:18,0x8A,0x20,0x5D,0x95,0x11,0x03,0x11,0x03,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:17,0x8A,0x20,0x5D,0x8D,0x13,0x02,0x13,0x02,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0x8A,0x20,0x5D,0x7D,0x13,0x03,0x13,0x03,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Valkyrie)  Lv:1,0x8A,0x25,0x5D,0x0D,0x1A,0x13,0x1A,0x13,0x37,0x44,0x00,0x00,0x00,0x06,0x29,0x00
Etruria(Cavalier)  Lv:18,0x8A,0x20,0x5D,0x95,0x19,0x12,0x19,0x12,0x18,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:18,0x8A,0x20,0x5D,0x95,0x19,0x14,0x19,0x14,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:17,0x8A,0x20,0x5D,0x8D,0x18,0x11,0x18,0x11,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0x8A,0x20,0x5D,0x7D,0x18,0x15,0x18,0x15,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Sniper)  Lv:5,0x8A,0x12,0x5D,0x2D,0x19,0x06,0x19,0x06,0x29,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Mercenary)  Lv:18,0x8A,0x02,0x5D,0x95,0x18,0x05,0x18,0x05,0x0C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mercenary)  Lv:17,0x8A,0x02,0x5D,0x8D,0x18,0x07,0x18,0x07,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mercenary)  Lv:18,0x8A,0x02,0x5D,0x95,0x1A,0x05,0x1A,0x05,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mercenary)  Lv:18,0x8A,0x02,0x5D,0x95,0x1A,0x07,0x1A,0x07,0x0A,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Archer)  Lv:17,0x8A,0x10,0x5D,0x8D,0x19,0x04,0x19,0x04,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:18,0x8A,0x10,0x5D,0x95,0x19,0x08,0x19,0x08,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Mercenary)  Lv:18,0x8A,0x02,0x5D,0x95,0x0C,0x14,0x0C,0x14,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mercenary)  Lv:17,0x8A,0x02,0x5D,0x8D,0x10,0x15,0x10,0x15,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Archer)  Lv:15,0x8A,0x10,0x5D,0x7D,0x11,0x18,0x11,0x18,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Mercenary)  Lv:17,0x8A,0x02,0x5D,0x8D,0x0E,0x08,0x0E,0x08,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Mercenary)  Lv:18,0x8A,0x02,0x5D,0x95,0x0B,0x08,0x0B,0x08,0x0A,0x00,0x00,0x00,0x00,0x06,0x31,0x00
Etruria(Cavalier)  Lv:14,0x8A,0x20,0x1D,0x75,0x0E,0x0A,0x0E,0x0A,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Cavalier)  Lv:14,0x8A,0x20,0x1D,0x75,0x0B,0x0A,0x0B,0x0A,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Sniper)  Lv:5,0x8A,0x12,0x5D,0x2D,0x0D,0x09,0x0D,0x09,0x29,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Etruria(Archer)  Lv:17,0x8A,0x10,0x5D,0x8D,0x0C,0x09,0x0C,0x09,0x2E,0x00,0x00,0x00,0x00,0x06,0x29,0x00
