0x67F1D4,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Arcardo(Paladin)  Lv:10,0x5E,0x22,0x00,0x54,0x1D,0x03,0x1D,0x03,0x1D,0x16,0x00,0x00,0x03,0x03,0x00,0x20
Bern(Knight)  Lv:16,0x91,0x0C,0x00,0x85,0x1C,0x04,0x1C,0x04,0x18,0x00,0x00,0x00,0x00,0x03,0x39,0x00
Bern(Knight)  Lv:16,0x91,0x0C,0x00,0x85,0x1E,0x04,0x1E,0x04,0x1A,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Mage)  Lv:17,0x91,0x18,0x00,0x8D,0x19,0x03,0x19,0x03,0x36,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mage)  Lv:17,0x91,0x18,0x00,0x8D,0x1C,0x09,0x1C,0x09,0x35,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mage)  Lv:16,0x91,0x18,0x00,0x85,0x1C,0x14,0x1C,0x14,0x34,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mage)  Lv:15,0x91,0x18,0x00,0x7D,0x06,0x0A,0x06,0x0A,0x34,0x00,0x00,0x00,0x03,0x03,0x01,0x00
Bern(Paladin)  Lv:5,0x91,0x22,0x00,0x2D,0x1C,0x10,0x1C,0x10,0x12,0x69,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Cavalier)  Lv:17,0x91,0x20,0x00,0x8D,0x1B,0x0F,0x1B,0x0F,0x19,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Cavalier)  Lv:17,0x91,0x20,0x00,0x8D,0x1B,0x11,0x1B,0x11,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Cavalier)  Lv:16,0x91,0x20,0x00,0x85,0x1D,0x0F,0x1D,0x0F,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Cavalier)  Lv:16,0x91,0x20,0x00,0x85,0x1D,0x11,0x1D,0x11,0x11,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Paladin)  Lv:5,0x91,0x22,0x00,0x2D,0x06,0x0C,0x06,0x0C,0x12,0x69,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Cavalier)  Lv:17,0x91,0x20,0x00,0x8D,0x05,0x0D,0x05,0x0D,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x07,0x0D,0x07,0x0D,0x19,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x14,0x16,0x14,0x16,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x17,0x17,0x17,0x17,0x11,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Paladin)  Lv:5,0x91,0x22,0x00,0x2D,0x15,0x05,0x15,0x05,0x12,0x69,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Cavalier)  Lv:16,0x91,0x20,0x00,0x85,0x14,0x06,0x14,0x06,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x16,0x06,0x16,0x06,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x14,0x04,0x14,0x04,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Cavalier)  Lv:15,0x91,0x20,0x00,0x7D,0x16,0x04,0x16,0x04,0x11,0x68,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Bishop)  Lv:6,0x91,0x16,0x00,0x35,0x1D,0x0C,0x1D,0x0C,0x46,0x3D,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Bishop)  Lv:5,0x91,0x16,0x00,0x2D,0x1D,0x05,0x1D,0x05,0x46,0x3C,0x4C,0x00,0x0E,0x03,0x11,0x20
Bern(Archer)  Lv:17,0x91,0x10,0x00,0x8D,0x11,0x0E,0x11,0x0E,0x28,0x68,0x00,0x00,0x00,0x03,0x29,0x00
Bern(Fighter)  Lv:17,0x91,0x0A,0x00,0x8D,0x12,0x0E,0x12,0x0E,0x1C,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bern(Archer)  Lv:17,0x91,0x10,0x00,0x8D,0x15,0x11,0x15,0x11,0x28,0x68,0x00,0x00,0x00,0x03,0x29,0x00
Bern(Archer)  Lv:17,0x91,0x10,0x00,0x8D,0x1B,0x0C,0x1B,0x0C,0x28,0x68,0x00,0x00,0x00,0x00,0x29,0x00
