0x682C70,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:18,0x01,0x01,0x00,0x91,0x02,0x03,0x02,0x03,0x0B,0x01,0x65,0x04,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:13,0x1F,0x22,0x01,0x69,0x03,0x03,0x03,0x03,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:20,0x1B,0x20,0x01,0xA1,0x01,0x04,0x01,0x04,0x03,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:15,0x09,0x0C,0x01,0x79,0x01,0x02,0x01,0x02,0x10,0x16,0x12,0x64,0x00,0x00,0x00,0x00
Klein(Sniper)  Lv:5,0x0F,0x12,0x01,0x29,0x04,0x05,0x04,0x05,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:5,0x3D,0x05,0x01,0x29,0x02,0x05,0x02,0x05,0x1F,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Cecilia(Valkyrie)  Lv:3,0x3F,0x25,0x01,0x19,0x04,0x02,0x04,0x02,0x36,0x34,0x39,0x43,0x00,0x00,0x00,0x00
Bartre(Warrior)  Lv:2,0x23,0x0B,0x01,0x11,0x03,0x04,0x03,0x04,0x23,0x1B,0x20,0x26,0x00,0x00,0x00,0x00
Elffin(Bard)  Lv:1,0x34,0x36,0x01,0x09,0x05,0x03,0x05,0x03,0x6A,0x64,0x68,0x00,0x00,0x00,0x00,0x00
Raigh(Shaman)  Lv:16,0x2A,0x1C,0x01,0x81,0x04,0x04,0x04,0x04,0x40,0x3F,0x41,0x68,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:20,0x31,0x2A,0x01,0xA1,0x05,0x05,0x05,0x05,0x11,0x16,0x12,0x18,0x00,0x00,0x00,0x00
Saul(Priest)  Lv:18,0x10,0x14,0x01,0x91,0x03,0x06,0x03,0x06,0x44,0x4A,0x48,0x45,0x00,0x00,0x00,0x00
Thea(Peg Knight)  Lv:20,0x2E,0x2A,0x01,0xA1,0x01,0x06,0x01,0x06,0x11,0x16,0x12,0x18,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x00,0x04,0x00,0x04,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
