0x67F74C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Martel(Bishop)  Lv:10,0x5F,0x16,0x00,0x54,0x13,0x03,0x13,0x03,0x3D,0x3C,0x00,0x00,0x03,0x03,0x10,0x20
Ilia(Falcoknight)  Lv:6,0x95,0x2B,0x00,0x35,0x08,0x04,0x08,0x04,0x12,0x00,0x00,0x00,0x00,0x06,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x07,0x05,0x07,0x05,0x1A,0x00,0x00,0x00,0x00,0x06,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x08,0x05,0x08,0x05,0x19,0x00,0x00,0x00,0x00,0x06,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x09,0x05,0x09,0x05,0x11,0x16,0x00,0x00,0x00,0x06,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x0A,0x05,0x0A,0x05,0x11,0x00,0x00,0x00,0x00,0x06,0x00,0x00
Ilia(Falcoknight)  Lv:6,0x95,0x2B,0x00,0x35,0x16,0x0D,0x16,0x0D,0x12,0x00,0x00,0x00,0x00,0x03,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x15,0x0B,0x15,0x0B,0x1A,0x00,0x00,0x00,0x00,0x03,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x15,0x0C,0x15,0x0C,0x1A,0x00,0x00,0x00,0x00,0x03,0x00,0x00
Ilia(Peg Knight)  Lv:17,0x95,0x2A,0x00,0x8D,0x15,0x0D,0x15,0x0D,0x19,0x00,0x00,0x00,0x00,0x03,0x00,0x00
Ilia(Peg Knight)  Lv:16,0x95,0x2A,0x00,0x85,0x15,0x0E,0x15,0x0E,0x11,0x16,0x00,0x00,0x00,0x03,0x00,0x00
Bern(Wyvern Rider)  Lv:17,0x96,0x2C,0x00,0x8D,0x14,0x1B,0x14,0x1B,0x18,0x00,0x00,0x00,0x00,0x03,0x3A,0x00
Bern(Wyvern Rider)  Lv:17,0x96,0x2C,0x00,0x8D,0x14,0x1C,0x14,0x1C,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:16,0x96,0x2C,0x00,0x85,0x14,0x1D,0x14,0x1D,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:17,0x96,0x2C,0x00,0x8D,0x14,0x1E,0x14,0x1E,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Ilia(Mercenary)  Lv:17,0x97,0x02,0x00,0x8D,0x04,0x0F,0x04,0x0F,0x0A,0x00,0x00,0x00,0x00,0x00,0x31,0x00
Ilia(Mercenary)  Lv:16,0x97,0x02,0x00,0x85,0x06,0x0F,0x06,0x0F,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Ilia(Mercenary)  Lv:16,0x97,0x02,0x00,0x85,0x07,0x12,0x07,0x12,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Ilia(Mercenary)  Lv:16,0x97,0x02,0x00,0x85,0x04,0x15,0x04,0x15,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Ilia(Mercenary)  Lv:17,0x97,0x02,0x00,0x8D,0x0E,0x0A,0x0E,0x0A,0x08,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Ilia(Mercenary)  Lv:17,0x97,0x02,0x00,0x8D,0x0D,0x0B,0x0D,0x0B,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Ilia(Mercenary)  Lv:17,0x97,0x02,0x00,0x8D,0x0E,0x0C,0x0E,0x0C,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Ilia(Priest)  Lv:15,0x97,0x14,0x00,0x7D,0x06,0x0D,0x06,0x0D,0x46,0x00,0x00,0x00,0x0E,0x03,0x10,0x20
Ilia(Priest)  Lv:15,0x97,0x14,0x00,0x7D,0x12,0x0F,0x12,0x0F,0x44,0x4B,0x00,0x00,0x00,0x00,0x10,0x00
Ilia(Priest)  Lv:15,0x97,0x14,0x00,0x7D,0x0F,0x06,0x0F,0x06,0x46,0x00,0x00,0x00,0x0E,0x03,0x10,0x20
Ilia(Priest)  Lv:15,0x97,0x14,0x00,0x7D,0x10,0x06,0x10,0x06,0x44,0x50,0x00,0x00,0x00,0x00,0x10,0x00
Ilia(Archer)  Lv:18,0x97,0x10,0x00,0x95,0x11,0x11,0x11,0x11,0x27,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Ilia(Archer)  Lv:18,0x97,0x10,0x00,0x95,0x05,0x0E,0x05,0x0E,0x27,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Ilia(Shaman)  Lv:18,0x97,0x1C,0x00,0x95,0x12,0x06,0x12,0x06,0x40,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Ilia(Shaman)  Lv:18,0x97,0x1C,0x00,0x95,0x14,0x06,0x14,0x06,0x3F,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Ilia(Shaman)  Lv:18,0x97,0x1C,0x00,0x95,0x12,0x10,0x12,0x10,0x3F,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Ilia(Shaman)  Lv:18,0x97,0x1C,0x00,0x95,0x12,0x12,0x12,0x12,0x3F,0x00,0x00,0x00,0x00,0x06,0x01,0x00
