0x6831B8,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Monke(Nmd Trooper)  Lv:9,0x69,0x28,0x00,0x4C,0x11,0x13,0x11,0x13,0x2C,0x07,0x69,0x00,0x03,0x03,0x00,0x20
Djute(Myrmidon)  Lv:15,0xA9,0x06,0x00,0x7D,0x0D,0x08,0x0D,0x08,0x03,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Djute(Myrmidon)  Lv:15,0xA9,0x06,0x00,0x7D,0x0B,0x0A,0x0B,0x0A,0x03,0x69,0x00,0x00,0x00,0x03,0x02,0x00
Djute(Shaman)  Lv:18,0xA9,0x1C,0x00,0x95,0x0D,0x0A,0x0D,0x0A,0x3F,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Djute(Shaman)  Lv:18,0xA9,0x1C,0x00,0x95,0x0D,0x0B,0x0D,0x0B,0x3F,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Djute(Myrmidon)  Lv:17,0xA9,0x06,0x00,0x8D,0x10,0x0A,0x10,0x0A,0x0A,0x68,0x00,0x00,0x00,0x00,0x32,0x00
Djute(Myrmidon)  Lv:17,0xA9,0x06,0x00,0x8D,0x0D,0x0D,0x0D,0x0D,0x0D,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x1A,0x1A,0x1A,0x1A,0x2D,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x0A,0x0F,0x0A,0x0F,0x2D,0x68,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x08,0x0F,0x08,0x0F,0x2D,0x69,0x00,0x00,0x03,0x03,0x2A,0x00
Djute(Nomad)  Lv:17,0xA9,0x26,0x00,0x8D,0x18,0x1C,0x18,0x1C,0x2D,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x03,0x0F,0x03,0x0F,0x2D,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x03,0x12,0x03,0x12,0x2D,0x03,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x06,0x13,0x06,0x13,0x2D,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x0D,0x13,0x0D,0x13,0x2D,0x03,0x00,0x00,0x00,0x03,0x0A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x19,0x0C,0x19,0x0C,0x2D,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x1B,0x0E,0x1B,0x0E,0x2D,0x03,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x08,0x17,0x08,0x17,0x2D,0x68,0x00,0x00,0x00,0x06,0x2A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x0A,0x17,0x0A,0x17,0x2D,0x69,0x00,0x00,0x00,0x06,0x2A,0x00
Djute(Nomad)  Lv:17,0xA9,0x26,0x00,0x8D,0x0A,0x19,0x0A,0x19,0x2D,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
Djute(Nomad)  Lv:18,0xA9,0x26,0x00,0x95,0x08,0x19,0x08,0x19,0x2D,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x09,0x18,0x09,0x18,0x2D,0x03,0x00,0x00,0x00,0x06,0x0A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x02,0x16,0x02,0x16,0x2D,0x03,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Nomad)  Lv:19,0xA9,0x26,0x00,0x9D,0x02,0x18,0x02,0x18,0x2D,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Nmd Trooper)  Lv:6,0xA9,0x28,0x00,0x35,0x02,0x1A,0x02,0x1A,0x2D,0x03,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Myrmidon)  Lv:15,0xA9,0x06,0x00,0x7D,0x11,0x10,0x11,0x10,0x0C,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Djute(Myrmidon)  Lv:16,0xA9,0x06,0x00,0x85,0x15,0x13,0x15,0x13,0x0D,0x00,0x00,0x00,0x00,0x03,0x0A,0x00
Djute(Druid)  Lv:6,0xA9,0x1E,0x00,0x35,0x11,0x16,0x11,0x16,0x41,0x46,0x00,0x00,0x0E,0x03,0x28,0x00
Bern(Wyvern Rider)  Lv:16,0xAA,0x2C,0x00,0x85,0x19,0x06,0x19,0x06,0x11,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:16,0xAA,0x2C,0x00,0x85,0x19,0x08,0x19,0x08,0x11,0x16,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Lord)  Lv:5,0xAA,0x2E,0x00,0x2D,0x1A,0x07,0x1A,0x07,0x1A,0x69,0x00,0x00,0x00,0x06,0x0A,0x00
