0x6838F0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Kel(Swordmaster)  Lv:10,0x6A,0x08,0x00,0x54,0x10,0x01,0x10,0x01,0x08,0x00,0x00,0x00,0x03,0x03,0x00,0x20
Sacae(Swordmaster)  Lv:5,0xAB,0x08,0x00,0x2D,0x0D,0x09,0x0D,0x09,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Sacae(Swordmaster)  Lv:5,0xAB,0x08,0x00,0x2D,0x13,0x09,0x13,0x09,0x0C,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Sacae(Sage)  Lv:7,0xAB,0x1A,0x00,0x3D,0x0E,0x04,0x0E,0x04,0x36,0x46,0x4B,0x00,0x00,0x00,0x00,0x00
Sacae(Sage)  Lv:6,0xAB,0x1A,0x00,0x35,0x12,0x04,0x12,0x04,0x37,0x44,0x4C,0x00,0x00,0x03,0x28,0x00
Sacae(Archer)  Lv:18,0xAB,0x10,0x00,0x95,0x14,0x05,0x14,0x05,0x2E,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
Sacae(Archer)  Lv:18,0xAB,0x10,0x00,0x95,0x13,0x06,0x13,0x06,0x2E,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
Sacae(Archer)  Lv:18,0xAB,0x10,0x00,0x95,0x0C,0x06,0x0C,0x06,0x28,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Sacae(Myrmidon)  Lv:17,0xAB,0x06,0x00,0x8D,0x08,0x06,0x08,0x06,0x0D,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sacae(Myrmidon)  Lv:17,0xAB,0x06,0x00,0x8D,0x18,0x06,0x18,0x06,0x0D,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sacae(Mage)  Lv:18,0xAB,0x18,0x00,0x95,0x06,0x02,0x06,0x02,0x37,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Sacae(Mage)  Lv:18,0xAB,0x18,0x00,0x95,0x1C,0x02,0x1C,0x02,0x36,0x00,0x00,0x00,0x03,0x03,0x02,0x00
