0x6837F0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:20,0x01,0x01,0x00,0xA1,0x14,0x1F,0x14,0x1F,0x0B,0x01,0x65,0x04,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:15,0x1F,0x22,0x01,0x79,0x13,0x1E,0x13,0x1E,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:20,0x1C,0x20,0x01,0xA1,0x15,0x1E,0x15,0x1E,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:20,0x25,0x18,0x01,0xA1,0x12,0x1D,0x12,0x1D,0x33,0x37,0x36,0x34,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:17,0x09,0x0C,0x01,0x89,0x14,0x1D,0x14,0x1D,0x10,0x16,0x12,0x64,0x00,0x00,0x00,0x00
Igrene(Sniper)  Lv:6,0x1E,0x13,0x01,0x31,0x16,0x1D,0x16,0x1D,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Dieck(Hero)  Lv:7,0x18,0x04,0x01,0x39,0x0B,0x1E,0x0B,0x1E,0x1F,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:18,0x21,0x0A,0x01,0x91,0x0A,0x1D,0x0A,0x1D,0x1B,0x20,0x1D,0x23,0x00,0x00,0x00,0x00
Cecilia(Valkyrie)  Lv:7,0x3F,0x25,0x01,0x39,0x0A,0x1F,0x0A,0x1F,0x36,0x4D,0x39,0x43,0x00,0x00,0x00,0x00
Fir(Myrmidon)  Lv:18,0x16,0x07,0x01,0x91,0x0C,0x1D,0x0C,0x1D,0x0E,0x01,0x5F,0x03,0x00,0x00,0x00,0x00
Sue(Nomad)  Lv:20,0x05,0x27,0x01,0xA1,0x0C,0x1F,0x0C,0x1F,0x2D,0x27,0x2E,0x2C,0x00,0x00,0x00,0x00
Zeiss(Wyvern Rider)  Lv:15,0x32,0x2C,0x01,0x79,0x16,0x1F,0x16,0x1F,0x11,0x16,0x12,0x18,0x00,0x00,0x00,0x00
Sin(Nomad)  Lv:20,0x04,0x26,0x01,0xA1,0x09,0x1E,0x09,0x1E,0x2D,0x27,0x2E,0x2C,0x00,0x00,0x00,0x00
Melady(Wyvern Rider)  Lv:15,0x37,0x2D,0x01,0x79,0x17,0x1E,0x17,0x1E,0x11,0x16,0x12,0x18,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x12,0x1F,0x12,0x1F,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
