0x680454,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Murdock(General)  Lv:20,0x62,0x0E,0x00,0xA4,0x18,0x1B,0x18,0x1B,0x7F,0x60,0x00,0x00,0x03,0x03,0x02,0x20
Bern(Wyvern Lord)  Lv:10,0x9F,0x2E,0x00,0x55,0x1D,0x05,0x1D,0x05,0x12,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x1C,0x05,0x1C,0x05,0x19,0x68,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x1C,0x06,0x1C,0x06,0x11,0x16,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x1B,0x03,0x1B,0x03,0x11,0x16,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x1B,0x07,0x1B,0x07,0x11,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bern(Wyvern Lord)  Lv:10,0x9F,0x2E,0x00,0x55,0x0F,0x14,0x0F,0x14,0x12,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x0F,0x13,0x0F,0x13,0x19,0x68,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x10,0x13,0x10,0x13,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x0E,0x12,0x0E,0x12,0x11,0x16,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x11,0x12,0x11,0x12,0x11,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bern(Wyvern Lord)  Lv:10,0x9F,0x2E,0x00,0x55,0x03,0x1B,0x03,0x1B,0x12,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x03,0x1A,0x03,0x1A,0x19,0x68,0x00,0x00,0x00,0x03,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x04,0x1A,0x04,0x1A,0x11,0x16,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Wyvern Rider)  Lv:20,0x9F,0x2C,0x00,0xA5,0x02,0x19,0x02,0x19,0x11,0x16,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Wyvern Rider)  Lv:10,0x9F,0x2C,0x00,0x55,0x05,0x19,0x05,0x19,0x11,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Manakete(Manakete)  Lv:10,0xB0,0x38,0x00,0x55,0x1C,0x15,0x1C,0x15,0x53,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Manakete(Manakete)  Lv:10,0xB0,0x38,0x00,0x55,0x11,0x19,0x11,0x19,0x53,0x00,0x00,0x00,0x00,0x03,0x0A,0x00
Bern(Bishop)  Lv:10,0x9F,0x16,0x00,0x55,0x0C,0x17,0x0C,0x17,0x3C,0x46,0x00,0x00,0x00,0x00,0x08,0x00
Bern(Bishop)  Lv:10,0x9F,0x16,0x00,0x55,0x1A,0x13,0x1A,0x13,0x3C,0x46,0x00,0x00,0x00,0x03,0x00,0x00
Bern(Bishop)  Lv:10,0x9F,0x16,0x00,0x55,0x0E,0x0C,0x0E,0x0C,0x3C,0x46,0x00,0x00,0x00,0x00,0x08,0x00
Bern(Sage)  Lv:12,0x9F,0x1A,0x00,0x65,0x17,0x04,0x17,0x04,0x36,0x44,0x00,0x00,0x00,0x00,0x08,0x00
