0x680D70,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Bern(Knight)  Lv:20,0xA0,0x0C,0x64,0xA5,0x12,0x16,0x12,0x16,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Hero)  Lv:12,0xA0,0x04,0x64,0x65,0x14,0x16,0x14,0x16,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Berserker)  Lv:12,0xA0,0x33,0x64,0x65,0x16,0x16,0x16,0x16,0x1D,0x00,0x00,0x00,0x00,0x03,0x21,0x00
Bern(Druid)  Lv:13,0xA0,0x1E,0x64,0x6D,0x10,0x16,0x10,0x16,0x38,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:20,0xA0,0x0C,0x64,0xA5,0x04,0x11,0x04,0x11,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:20,0xA0,0x0C,0x64,0xA5,0x1E,0x11,0x1E,0x11,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Hero)  Lv:15,0xA0,0x04,0x64,0x7D,0x01,0x00,0x01,0x00,0x07,0x00,0x00,0x00,0x00,0x03,0x0A,0x20
Bern(Hero)  Lv:15,0xA0,0x04,0x64,0x7D,0x1E,0x00,0x1E,0x00,0x1F,0x00,0x00,0x00,0x00,0x03,0x0A,0x20
Bern(General)  Lv:14,0xA0,0x0E,0x64,0x75,0x01,0x04,0x01,0x04,0x12,0x16,0x00,0x00,0x00,0x03,0x02,0x00
Bern(General)  Lv:14,0xA0,0x0E,0x64,0x75,0x1E,0x04,0x1E,0x04,0x12,0x16,0x00,0x00,0x00,0x03,0x02,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x06,0x01,0x06,0x01,0x1C,0x20,0x00,0x00,0x00,0x03,0x21,0x00
Bern(Berserker)  Lv:10,0xA0,0x33,0x64,0x55,0x05,0x06,0x05,0x06,0x1C,0x00,0x00,0x00,0x00,0x03,0x21,0x00
