0x680C60,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:20,0x01,0x01,0x00,0xA1,0x1C,0x1E,0x1C,0x1E,0x0B,0x01,0x0F,0x0A,0x00,0x00,0x00,0x00
Zeiss(Wyvern Rider)  Lv:19,0x32,0x2C,0x01,0x99,0x03,0x1E,0x03,0x1E,0x17,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:20,0x0D,0x10,0x01,0xA1,0x1E,0x1E,0x1E,0x1E,0x2F,0x29,0x2B,0x28,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:20,0x1C,0x20,0x01,0xA1,0x01,0x1E,0x01,0x1E,0x01,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:20,0x09,0x0C,0x01,0xA1,0x1C,0x1D,0x1C,0x1D,0x42,0x16,0x10,0x60,0x00,0x00,0x00,0x00
Hugh(Mage)  Lv:20,0x27,0x18,0x01,0xA1,0x02,0x1D,0x02,0x1D,0x3A,0x36,0x77,0x39,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:11,0x3D,0x05,0x01,0x59,0x1C,0x1F,0x1C,0x1F,0x21,0x01,0x02,0x03,0x00,0x00,0x00,0x00
Lot(Fighter)  Lv:10,0x22,0x0A,0x01,0x51,0x02,0x1F,0x02,0x1F,0x1D,0x1B,0x20,0x5F,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:20,0x14,0x34,0x01,0xA1,0x1B,0x1D,0x1B,0x1D,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Juno(Peg Knight)  Lv:20,0x2C,0x2A,0x01,0xA1,0x04,0x1D,0x04,0x1D,0x15,0x11,0x16,0x10,0x00,0x00,0x00,0x00
Klein(Sniper)  Lv:14,0x0F,0x12,0x01,0x71,0x1E,0x1D,0x1E,0x1D,0x27,0x29,0x2B,0x28,0x00,0x00,0x00,0x00
Cecilia(Valkyrie)  Lv:18,0x3F,0x25,0x01,0x91,0x04,0x1F,0x04,0x1F,0x36,0x77,0x45,0x48,0x00,0x00,0x00,0x00
Perceval(Paladin)  Lv:20,0x1D,0x22,0x01,0xA1,0x1B,0x1F,0x1B,0x1F,0x09,0x01,0x10,0x16,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:20,0x18,0x02,0x01,0xA1,0x1E,0x1F,0x1E,0x1F,0x07,0x02,0x5F,0x01,0x00,0x00,0x00,0x00
Thea(Peg Knight)  Lv:20,0x2E,0x2A,0x01,0xA1,0x1B,0x1C,0x1B,0x1C,0x12,0x01,0x10,0x3E,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x1D,0x1E,0x1D,0x1E,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
