0x6818F8,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:20,0x01,0x01,0x00,0xA1,0x1B,0x2E,0x1B,0x2E,0x0B,0x01,0x0F,0x0A,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:20,0x14,0x34,0x01,0xA1,0x1A,0x2D,0x1A,0x2D,0x01,0x68,0x67,0x00,0x00,0x00,0x00,0x00
Klein(Sniper)  Lv:16,0x0F,0x12,0x01,0x81,0x1C,0x2D,0x1C,0x2D,0x27,0x29,0x2B,0x28,0x00,0x00,0x00,0x00
Bartre(Warrior)  Lv:12,0x23,0x0B,0x01,0x61,0x1A,0x2F,0x1A,0x2F,0x1C,0x1B,0x20,0x1D,0x00,0x00,0x00,0x00
Raigh(Druid)  Lv:20,0x2A,0x1E,0x01,0xA1,0x1C,0x2F,0x1C,0x2F,0x40,0x50,0x4E,0x46,0x00,0x00,0x00,0x00
Elen(Bishop)  Lv:20,0x11,0x17,0x01,0xA1,0x19,0x2C,0x19,0x2C,0x3E,0x3D,0x4B,0x45,0x00,0x00,0x00,0x00
Juno(Peg Knight)  Lv:20,0x2C,0x2A,0x01,0xA1,0x1B,0x2C,0x1B,0x2C,0x15,0x11,0x16,0x10,0x00,0x00,0x00,0x00
Perceval(Paladin)  Lv:20,0x1D,0x22,0x01,0xA1,0x1A,0x2B,0x1A,0x2B,0x12,0x01,0x10,0x16,0x00,0x00,0x00,0x00
Karel(Swordmaster)  Lv:20,0x15,0x08,0x01,0xA1,0x1C,0x2B,0x1C,0x2B,0x0E,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:20,0x42,0x42,0x01,0xA1,0x1D,0x2C,0x1D,0x2C,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
