0x67A81C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Narcian(Wyvern Lord)  Lv:1,0x59,0x2E,0x00,0x0D,0x03,0x08,0x03,0x08,0x12,0x16,0x00,0x00,0x03,0x03,0x00,0x00
Erik(Cavalier)  Lv:10,0x4D,0x20,0x00,0x54,0x02,0x09,0x02,0x09,0x03,0x16,0x00,0x00,0x03,0x03,0x01,0x20
Laus(Cavalier)  Lv:4,0x71,0x20,0x4D,0x25,0x01,0x05,0x01,0x05,0x01,0x00,0x00,0x00,0x07,0x07,0x01,0x00
Laus(Archer)  Lv:5,0x71,0x10,0x4D,0x2D,0x00,0x06,0x00,0x06,0x27,0x00,0x00,0x00,0x07,0x03,0x01,0x00
Laus(Cavalier)  Lv:3,0x71,0x20,0x4D,0x1D,0x05,0x0A,0x03,0x0A,0x10,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Cavalier)  Lv:3,0x71,0x20,0x4D,0x1D,0x05,0x0B,0x03,0x0B,0x10,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Cavalier)  Lv:3,0x71,0x20,0x4D,0x1D,0x01,0x0A,0x00,0x0A,0x01,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Cavalier)  Lv:5,0x71,0x20,0x4D,0x2D,0x01,0x0B,0x00,0x0B,0x10,0x00,0x00,0x00,0x07,0x07,0x01,0x00
Laus(Cavalier)  Lv:3,0x71,0x20,0x4D,0x1D,0x06,0x0A,0x06,0x0A,0x01,0x00,0x00,0x00,0x07,0x03,0x01,0x00
Laus(Cavalier)  Lv:3,0x71,0x20,0x4D,0x1D,0x06,0x0B,0x06,0x0B,0x10,0x00,0x00,0x00,0x07,0x03,0x01,0x00
Laus(Cavalier)  Lv:2,0x71,0x20,0x4D,0x15,0x0F,0x07,0x0C,0x08,0x10,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Cavalier)  Lv:2,0x71,0x20,0x4D,0x15,0x11,0x06,0x0E,0x07,0x10,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Cavalier)  Lv:2,0x71,0x20,0x4D,0x15,0x0F,0x04,0x0D,0x02,0x01,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Archer)  Lv:5,0x71,0x10,0x4D,0x2D,0x08,0x0C,0x01,0x0C,0x27,0x00,0x00,0x00,0x07,0x07,0x01,0x00
Laus(Archer)  Lv:4,0x71,0x10,0x4D,0x25,0x05,0x08,0x04,0x09,0x27,0x00,0x00,0x00,0x07,0x07,0x01,0x00
Laus(Nomad)  Lv:1,0x71,0x26,0x4D,0x0D,0x03,0x0A,0x01,0x09,0x27,0x00,0x00,0x00,0x07,0x01,0x01,0x00
Laus(Nomad)  Lv:1,0x71,0x26,0x4D,0x0D,0x10,0x06,0x0D,0x07,0x27,0x00,0x00,0x00,0x07,0x03,0x01,0x00
