0x67A70C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:3,0x01,0x01,0x00,0x19,0x17,0x03,0x17,0x03,0x0B,0x01,0x68,0x00,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:2,0x1F,0x22,0x01,0x11,0x16,0x03,0x16,0x03,0x12,0x01,0x00,0x00,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:5,0x1B,0x20,0x01,0x29,0x15,0x02,0x15,0x02,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:3,0x1C,0x20,0x01,0x19,0x15,0x04,0x15,0x04,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:4,0x09,0x0C,0x01,0x21,0x14,0x03,0x14,0x03,0x10,0x16,0x00,0x00,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:3,0x0D,0x10,0x01,0x19,0x17,0x02,0x17,0x02,0x27,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:6,0x18,0x02,0x01,0x31,0x17,0x07,0x17,0x07,0x02,0x01,0x0A,0x00,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:5,0x21,0x0A,0x01,0x29,0x18,0x06,0x18,0x06,0x1B,0x22,0x00,0x00,0x00,0x00,0x00,0x00
Lot(Fighter)  Lv:3,0x22,0x0A,0x01,0x19,0x18,0x08,0x18,0x08,0x1C,0x20,0x00,0x00,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:2,0x31,0x2A,0x01,0x11,0x17,0x09,0x17,0x09,0x13,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Elen(Cleric)  Lv:3,0x11,0x15,0x01,0x19,0x17,0x04,0x17,0x04,0x43,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:1,0x14,0x34,0x01,0x09,0x18,0x07,0x18,0x07,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:2,0x25,0x18,0x01,0x11,0x19,0x07,0x19,0x07,0x33,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x18,0x03,0x18,0x03,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
