0x67AC58,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Dory(Brigand)  Lv:11,0x4E,0x31,0x00,0x5C,0x02,0x0E,0x02,0x0E,0x23,0x20,0x00,0x00,0x03,0x03,0x00,0x20
Bandit(Fighter)  Lv:4,0x73,0x0A,0x4E,0x25,0x0E,0x07,0x0E,0x07,0x1B,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Fighter)  Lv:4,0x73,0x0A,0x4E,0x25,0x0E,0x05,0x0E,0x05,0x20,0x00,0x00,0x00,0x00,0x03,0x04,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x0B,0x05,0x0B,0x05,0x1C,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x09,0x03,0x09,0x03,0x1B,0x20,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x07,0x04,0x07,0x04,0x1C,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x05,0x06,0x05,0x06,0x1B,0x20,0x00,0x00,0x00,0x03,0x04,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x04,0x04,0x04,0x04,0x1C,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Fighter)  Lv:5,0x73,0x0A,0x4E,0x2D,0x03,0x05,0x03,0x05,0x1B,0x20,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Mercenary)  Lv:3,0x73,0x02,0x4E,0x1D,0x01,0x08,0x01,0x08,0x01,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bandit(Mercenary)  Lv:3,0x73,0x02,0x4E,0x1D,0x03,0x09,0x03,0x09,0x01,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bandit(Brigand)  Lv:6,0x73,0x31,0x4E,0x35,0x01,0x0F,0x01,0x0F,0x20,0x00,0x00,0x00,0x00,0x03,0x04,0x00
Bandit(Brigand)  Lv:6,0x73,0x31,0x4E,0x35,0x02,0x11,0x02,0x11,0x20,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Brigand)  Lv:6,0x73,0x31,0x4E,0x35,0x02,0x10,0x02,0x10,0x20,0x00,0x00,0x00,0x00,0x00,0x0C,0x00
Bandit(Brigand)  Lv:6,0x73,0x31,0x4E,0x35,0x03,0x0F,0x03,0x0F,0x20,0x00,0x00,0x00,0x00,0x03,0x04,0x00
Bandit(Mercenary)  Lv:2,0x73,0x02,0x4E,0x15,0x0C,0x02,0x0C,0x02,0x01,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bandit(Mercenary)  Lv:4,0x73,0x02,0x4E,0x25,0x09,0x06,0x07,0x06,0x03,0x00,0x00,0x00,0x03,0x03,0x02,0x00
Bandit(Mercenary)  Lv:4,0x73,0x02,0x4E,0x25,0x02,0x0A,0x02,0x0A,0x03,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Bandit(Mercenary)  Lv:5,0x73,0x02,0x4E,0x2D,0x03,0x12,0x03,0x12,0x72,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bandit(Nomad)  Lv:3,0x73,0x26,0x4E,0x1D,0x04,0x0B,0x04,0x0B,0x27,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
Bandit(Nomad)  Lv:4,0x73,0x26,0x4E,0x25,0x04,0x0D,0x04,0x0D,0x28,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bandit(Nomad)  Lv:3,0x73,0x26,0x4E,0x1D,0x01,0x0B,0x01,0x0B,0x27,0x00,0x00,0x00,0x00,0x00,0x2A,0x00
Bandit(Mage)  Lv:5,0x73,0x18,0x4E,0x2D,0x01,0x12,0x01,0x12,0x33,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
