0x67BC4C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Legance(General)  Lv:1,0x51,0x0E,0x00,0x0C,0x06,0x11,0x06,0x11,0x11,0x16,0x00,0x00,0x03,0x03,0x01,0x20
Rebel(Soldier)  Lv:12,0x77,0x30,0x00,0x65,0x1A,0x09,0x1A,0x09,0x11,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Soldier)  Lv:12,0x77,0x30,0x00,0x65,0x1C,0x09,0x1C,0x09,0x10,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Rebel(Archer)  Lv:8,0x77,0x10,0x00,0x45,0x1B,0x07,0x1B,0x07,0x28,0x68,0x00,0x00,0x00,0x00,0x29,0x00
Rebel(Knight)  Lv:7,0x77,0x0C,0x00,0x3D,0x12,0x05,0x12,0x05,0x11,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x14,0x02,0x14,0x02,0x10,0x16,0x65,0x00,0x00,0x00,0x01,0x00
Rebel(Soldier)  Lv:12,0x77,0x30,0x00,0x65,0x14,0x03,0x14,0x03,0x11,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Mage)  Lv:7,0x77,0x18,0x00,0x3D,0x13,0x05,0x13,0x05,0x33,0x68,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Knight)  Lv:8,0x77,0x0C,0x00,0x45,0x0C,0x01,0x0C,0x01,0x18,0x64,0x68,0x00,0x00,0x00,0x38,0x00
Rebel(Soldier)  Lv:12,0x77,0x30,0x00,0x65,0x0A,0x03,0x0A,0x03,0x11,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x0A,0x05,0x0A,0x05,0x10,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Archer)  Lv:10,0x77,0x10,0x00,0x55,0x0A,0x00,0x0A,0x00,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x03,0x0B,0x03,0x0B,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x05,0x0C,0x05,0x0C,0x10,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Rebel(Archer)  Lv:10,0x77,0x10,0x00,0x55,0x0D,0x0E,0x0D,0x0E,0x28,0x68,0x00,0x00,0x00,0x00,0x29,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x0B,0x0E,0x0B,0x0E,0x10,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Archer)  Lv:10,0x77,0x10,0x00,0x55,0x03,0x0C,0x03,0x0C,0x28,0x68,0x00,0x00,0x00,0x03,0x29,0x00
Rebel(Soldier)  Lv:11,0x77,0x30,0x00,0x5D,0x04,0x08,0x04,0x08,0x10,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Rebel(Archer)  Lv:10,0x77,0x10,0x00,0x55,0x04,0x05,0x04,0x05,0x28,0x68,0x00,0x00,0x00,0x00,0x29,0x00
Rebel(Mage)  Lv:8,0x77,0x18,0x00,0x45,0x01,0x07,0x01,0x07,0x36,0x65,0x00,0x00,0x00,0x06,0x01,0x00
Rebel(Mage)  Lv:7,0x77,0x18,0x00,0x3D,0x07,0x08,0x07,0x08,0x33,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Rebel(Knight)  Lv:8,0x77,0x0C,0x00,0x45,0x04,0x0E,0x04,0x0E,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Rebel(Mage)  Lv:8,0x77,0x18,0x00,0x45,0x06,0x0E,0x06,0x0E,0x34,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Rebel(Knight)  Lv:8,0x77,0x0C,0x00,0x45,0x05,0x0B,0x05,0x0B,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Rebel(Archer)  Lv:9,0x77,0x10,0x00,0x4D,0x14,0x0B,0x14,0x0B,0x27,0x00,0x00,0x00,0x00,0x0F,0x51,0x00
Rebel(Knight)  Lv:8,0x77,0x0C,0x00,0x45,0x11,0x16,0x11,0x16,0x19,0x64,0x00,0x00,0x00,0x03,0x09,0x00
Rebel(Knight)  Lv:8,0x77,0x0C,0x00,0x45,0x06,0x13,0x06,0x13,0x11,0x16,0x00,0x00,0x03,0x03,0x02,0x00
Rebel(Mage)  Lv:7,0x77,0x18,0x00,0x3D,0x08,0x12,0x08,0x12,0x37,0x00,0x00,0x00,0x00,0x03,0x09,0x00
Rebel(Mage)  Lv:7,0x77,0x18,0x00,0x3D,0x04,0x12,0x04,0x12,0x36,0x68,0x00,0x00,0x00,0x03,0x09,0x00
