0x67BB5C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:7,0x01,0x01,0x00,0x39,0x1A,0x13,0x1A,0x13,0x0B,0x01,0x65,0x00,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:4,0x1F,0x22,0x01,0x21,0x1C,0x13,0x1A,0x11,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:8,0x1C,0x20,0x01,0x41,0x18,0x13,0x1A,0x12,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:5,0x09,0x0C,0x01,0x29,0x1A,0x11,0x1B,0x12,0x10,0x16,0x64,0x00,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:6,0x0D,0x10,0x01,0x31,0x1A,0x12,0x18,0x13,0x27,0x29,0x68,0x28,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:10,0x18,0x02,0x01,0x51,0x1B,0x12,0x1C,0x13,0x02,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:6,0x21,0x0A,0x01,0x31,0x1B,0x14,0x18,0x14,0x1B,0x22,0x20,0x1C,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:7,0x31,0x2A,0x01,0x39,0x1C,0x14,0x19,0x14,0x13,0x16,0x68,0x00,0x00,0x00,0x00,0x00
Elen(Cleric)  Lv:9,0x11,0x15,0x01,0x49,0x1B,0x15,0x1B,0x14,0x43,0x51,0x4A,0x68,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:4,0x14,0x34,0x01,0x21,0x18,0x14,0x1C,0x14,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:4,0x25,0x18,0x01,0x21,0x19,0x14,0x19,0x15,0x33,0x34,0x68,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x1B,0x15,0x1B,0x15,0x01,0x10,0x16,0x33,0x00,0x00,0x00,0x00
