0x6842FC,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Henning(Hero)  Lv:1,0xB5,0x04,0x00,0x0C,0x03,0x02,0x03,0x02,0x72,0x20,0x00,0x00,0x03,0x03,0x02,0x20
Bandit(Fighter)  Lv:10,0xB3,0x0A,0xB5,0x55,0x00,0x02,0x00,0x02,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Fighter)  Lv:10,0xB3,0x0A,0xB5,0x55,0x06,0x02,0x06,0x02,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Mage)  Lv:12,0xB3,0x18,0xB5,0x65,0x03,0x04,0x03,0x04,0x37,0x68,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Fighter)  Lv:7,0xB3,0x0A,0xB5,0x3D,0x19,0x0D,0x19,0x0D,0x1C,0x20,0x65,0x00,0x00,0x00,0x2A,0x00
Bandit(Archer)  Lv:8,0xB3,0x10,0xB5,0x45,0x03,0x0C,0x03,0x0C,0x28,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bandit(Myrmidon)  Lv:8,0xB3,0x06,0xB5,0x45,0x06,0x0C,0x06,0x0C,0x0A,0x00,0x00,0x00,0x00,0x03,0x32,0x00
Bandit(Mage)  Lv:7,0xB3,0x18,0xB5,0x3D,0x08,0x0B,0x08,0x0B,0x36,0x68,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Archer)  Lv:6,0xB3,0x10,0xB5,0x35,0x08,0x0D,0x08,0x0D,0x28,0x00,0x00,0x00,0x03,0x03,0x2A,0x00
Bandit(Mercenary)  Lv:10,0xB3,0x02,0xB5,0x55,0x0A,0x0C,0x0A,0x0C,0x0C,0x68,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x0D,0x0B,0x0D,0x0B,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x0F,0x0B,0x0F,0x0B,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Mercenary)  Lv:10,0xB4,0x02,0xB5,0x55,0x0E,0x02,0x0E,0x02,0x03,0x68,0x00,0x00,0x00,0x03,0x01,0x20
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x0F,0x01,0x0F,0x01,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x0F,0x03,0x0F,0x03,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Mage)  Lv:8,0xB3,0x18,0xB5,0x45,0x0E,0x09,0x0E,0x09,0x36,0x68,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Mercenary)  Lv:6,0xB4,0x02,0xB5,0x35,0x18,0x04,0x18,0x04,0x01,0x68,0x00,0x00,0x00,0x03,0x09,0x00
Bandit(Fighter)  Lv:5,0xB3,0x0A,0xB5,0x2D,0x13,0x01,0x13,0x01,0x1B,0x20,0x00,0x00,0x00,0x03,0x0A,0x00
Bandit(Fighter)  Lv:5,0xB3,0x0A,0xB5,0x2D,0x14,0x03,0x14,0x03,0x1B,0x20,0x00,0x00,0x00,0x00,0x0A,0x00
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x19,0x03,0x19,0x03,0x1B,0x20,0x00,0x00,0x00,0x03,0x0A,0x00
Bandit(Mercenary)  Lv:7,0xB3,0x02,0xB5,0x3D,0x17,0x03,0x17,0x03,0x03,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Bandit(Mage)  Lv:6,0xB3,0x18,0xB5,0x35,0x18,0x08,0x18,0x08,0x34,0x68,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Archer)  Lv:5,0xB3,0x10,0xB5,0x2D,0x18,0x0B,0x18,0x0B,0x28,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
Bandit(Myrmidon)  Lv:6,0xB3,0x06,0xB5,0x35,0x09,0x16,0x09,0x16,0x03,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Bandit(Fighter)  Lv:6,0xB3,0x0A,0xB5,0x35,0x17,0x0D,0x17,0x0D,0x1C,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bandit(Fighter)  Lv:10,0xB3,0x0A,0xB5,0x55,0x06,0x16,0x06,0x16,0x26,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bandit(Fighter)  Lv:5,0xB3,0x0A,0xB5,0x2D,0x06,0x18,0x06,0x18,0x1B,0x20,0x00,0x00,0x00,0x00,0x02,0x00
Bandit(Fighter)  Lv:5,0xB3,0x0A,0xB5,0x2D,0x03,0x17,0x03,0x17,0x1B,0x20,0x00,0x00,0x00,0x00,0x02,0x00
Bandit(Mage)  Lv:5,0xB3,0x18,0xB5,0x2D,0x0C,0x16,0x0C,0x16,0x33,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bandit(Mercenary)  Lv:3,0xB4,0x02,0xB5,0x1D,0x10,0x15,0x10,0x15,0x01,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Bandit(Mercenary)  Lv:3,0xB4,0x02,0xB5,0x1D,0x10,0x17,0x10,0x17,0x03,0x00,0x00,0x00,0x00,0x00,0x02,0x00
