0x68424C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:5,0x01,0x01,0x00,0x29,0x17,0x17,0x17,0x17,0x0B,0x01,0x65,0x0A,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:10,0x1C,0x20,0x01,0x51,0x18,0x16,0x18,0x16,0x01,0x10,0x16,0x18,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:10,0x1B,0x20,0x01,0x51,0x18,0x18,0x18,0x18,0x01,0x10,0x16,0x11,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:8,0x02,0x24,0x01,0x41,0x16,0x16,0x16,0x16,0x43,0x43,0x44,0x68,0x00,0x00,0x00,0x00
Rutger(Myrmidon)  Lv:12,0x17,0x06,0x01,0x61,0x16,0x18,0x16,0x18,0x01,0x0C,0x64,0x00,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:11,0x18,0x02,0x01,0x59,0x19,0x17,0x19,0x17,0x01,0x02,0x00,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:11,0x25,0x18,0x01,0x59,0x17,0x15,0x17,0x15,0x33,0x33,0x34,0x00,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:10,0x31,0x2A,0x01,0x51,0x17,0x19,0x17,0x19,0x10,0x16,0x11,0x13,0x00,0x00,0x00,0x00
Zelot(Paladin)  Lv:11,0x3C,0x22,0x01,0x59,0x15,0x19,0x15,0x19,0x10,0x16,0x11,0x13,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x15,0x17,0x15,0x17,0x01,0x10,0x16,0x33,0x00,0x00,0x00,0x00
