0x68202C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Zinque(General)  Lv:5,0x68,0x0E,0x00,0x2C,0x14,0x02,0x14,0x02,0x12,0x16,0x00,0x00,0x03,0x03,0x01,0x20
Bandit(Mercenary)  Lv:12,0x81,0x02,0x68,0x65,0x13,0x04,0x13,0x04,0x72,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bandit(Priest)  Lv:12,0x81,0x14,0x68,0x65,0x15,0x04,0x15,0x04,0x46,0x00,0x00,0x00,0x0E,0x03,0x11,0x20
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x16,0x09,0x16,0x09,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x16,0x13,0x16,0x13,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Archer)  Lv:11,0x81,0x10,0x68,0x5D,0x12,0x08,0x12,0x08,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bandit(Fighter)  Lv:12,0x81,0x0A,0x68,0x65,0x13,0x0D,0x13,0x0D,0x23,0x00,0x00,0x00,0x00,0x03,0x09,0x00
Bandit(Shaman)  Lv:9,0x81,0x1C,0x68,0x4D,0x11,0x0D,0x11,0x0D,0x40,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Archer)  Lv:12,0x81,0x10,0x68,0x65,0x12,0x13,0x12,0x13,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x0C,0x1C,0x0C,0x1C,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x0E,0x1C,0x0E,0x1C,0x20,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Mercenary)  Lv:9,0x81,0x02,0x68,0x4D,0x12,0x1B,0x12,0x1B,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x06,0x06,0x06,0x06,0x20,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Archer)  Lv:11,0x81,0x10,0x68,0x5D,0x0C,0x09,0x0C,0x09,0x27,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bandit(Archer)  Lv:12,0x81,0x10,0x68,0x65,0x07,0x0B,0x07,0x0B,0x27,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x0B,0x0B,0x0B,0x0B,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bandit(Shaman)  Lv:10,0x81,0x1C,0x68,0x55,0x0F,0x11,0x0F,0x11,0x3F,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bandit(Shaman)  Lv:10,0x81,0x1C,0x68,0x55,0x11,0x15,0x11,0x15,0x3F,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bandit(Archer)  Lv:11,0x81,0x10,0x68,0x5D,0x10,0x13,0x10,0x13,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bandit(Archer)  Lv:12,0x81,0x10,0x68,0x65,0x0F,0x18,0x0F,0x18,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bandit(Shaman)  Lv:12,0x81,0x1C,0x68,0x65,0x0D,0x0F,0x0D,0x0F,0x3F,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x0D,0x13,0x0D,0x13,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bandit(Shaman)  Lv:9,0x81,0x1C,0x68,0x4D,0x0D,0x17,0x0D,0x17,0x3F,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Priest)  Lv:11,0x81,0x14,0x68,0x5D,0x12,0x04,0x12,0x04,0x46,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bandit(Archer)  Lv:12,0x81,0x10,0x68,0x65,0x08,0x11,0x08,0x11,0x28,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Bandit(Fighter)  Lv:10,0x81,0x0A,0x68,0x55,0x03,0x10,0x03,0x10,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
