0x67CE9C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Orlo(Bishop)  Lv:8,0x56,0x16,0x00,0x44,0x1B,0x02,0x1B,0x02,0x3C,0x00,0x00,0x00,0x03,0x03,0x01,0x20
Etruria(Fighter)  Lv:13,0x7F,0x0A,0x56,0x6D,0x03,0x10,0x03,0x10,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:14,0x7F,0x0A,0x56,0x75,0x08,0x10,0x08,0x10,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:13,0x7F,0x0A,0x56,0x6D,0x08,0x13,0x08,0x13,0x1C,0x20,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Archer)  Lv:13,0x7F,0x10,0x56,0x6D,0x0D,0x10,0x0D,0x10,0x28,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Etruria(Shaman)  Lv:14,0x7F,0x1C,0x56,0x75,0x0F,0x13,0x0F,0x13,0x3F,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Fighter)  Lv:15,0x7F,0x0A,0x56,0x7D,0x14,0x10,0x14,0x10,0x1C,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Fighter)  Lv:15,0x7F,0x0A,0x56,0x7D,0x16,0x10,0x16,0x10,0x1C,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Fighter)  Lv:14,0x7F,0x0A,0x56,0x75,0x15,0x11,0x15,0x11,0x1B,0x20,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Archer)  Lv:15,0x7F,0x10,0x56,0x7D,0x15,0x0A,0x15,0x0A,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Etruria(Fighter)  Lv:15,0x7F,0x0A,0x56,0x7D,0x14,0x07,0x14,0x07,0x1C,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Fighter)  Lv:14,0x7F,0x0A,0x56,0x75,0x16,0x07,0x16,0x07,0x20,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Fighter)  Lv:14,0x7F,0x0A,0x56,0x75,0x16,0x09,0x16,0x09,0x20,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Fighter)  Lv:14,0x7F,0x0A,0x56,0x75,0x14,0x09,0x14,0x09,0x1C,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Fighter)  Lv:15,0x7F,0x0A,0x56,0x7D,0x15,0x08,0x15,0x08,0x1C,0x20,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Archer)  Lv:14,0x7F,0x10,0x56,0x75,0x15,0x06,0x15,0x06,0x2B,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Etruria(Shaman)  Lv:16,0x7F,0x1C,0x56,0x85,0x1A,0x03,0x1A,0x03,0x3F,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Shaman)  Lv:16,0x7F,0x1C,0x56,0x85,0x1C,0x03,0x1C,0x03,0x3F,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Archer)  Lv:14,0x7F,0x10,0x56,0x75,0x0E,0x06,0x0E,0x06,0x28,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Etruria(Archer)  Lv:14,0x7F,0x10,0x56,0x75,0x0E,0x0B,0x0E,0x0B,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:14,0x7F,0x10,0x56,0x75,0x0E,0x17,0x0E,0x17,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Fighter)  Lv:16,0x7F,0x0A,0x56,0x85,0x08,0x17,0x08,0x17,0x26,0x00,0x00,0x00,0x00,0x03,0x39,0x00
