0x67D618,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Arcardo(Paladin)  Lv:10,0x5E,0x22,0x00,0x54,0x09,0x01,0x09,0x01,0x12,0x69,0x00,0x00,0x06,0x05,0x1B,0x20
Etruria(Fighter)  Lv:12,0x84,0x0A,0x00,0x65,0x0A,0x15,0x0A,0x15,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:13,0x84,0x0A,0x00,0x6D,0x0D,0x15,0x0D,0x15,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Knight)  Lv:13,0x84,0x0C,0x00,0x6D,0x09,0x10,0x09,0x10,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:12,0x84,0x0A,0x00,0x65,0x08,0x0A,0x08,0x0A,0x1C,0x20,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:13,0x84,0x0A,0x00,0x6D,0x08,0x0C,0x08,0x0C,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:12,0x84,0x0A,0x00,0x65,0x0A,0x0A,0x0A,0x0A,0x1C,0x20,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:14,0x84,0x0A,0x00,0x75,0x0A,0x0C,0x0A,0x0C,0x1C,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Warrior)  Lv:5,0x84,0x0B,0x00,0x2D,0x09,0x0B,0x09,0x0B,0x20,0x00,0x00,0x00,0x00,0x03,0x0A,0x00
Raigh(Shaman)  Lv:12,0x2A,0x1C,0x00,0x64,0x03,0x0B,0x03,0x0B,0x40,0x00,0x00,0x00,0x03,0x03,0x01,0x00
Etruria(Fighter)  Lv:15,0x84,0x0A,0x00,0x7D,0x17,0x11,0x17,0x11,0x23,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Knight)  Lv:12,0x84,0x0C,0x00,0x65,0x17,0x0C,0x17,0x0C,0x11,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:15,0x84,0x0A,0x00,0x7D,0x17,0x08,0x17,0x08,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Priest)  Lv:14,0x84,0x14,0x00,0x75,0x0D,0x08,0x0D,0x08,0x44,0x00,0x00,0x00,0x0E,0x03,0x10,0x00
Etruria(Priest)  Lv:15,0x84,0x14,0x00,0x7D,0x14,0x18,0x14,0x18,0x4C,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Priest)  Lv:15,0x84,0x14,0x00,0x7D,0x14,0x16,0x14,0x16,0x46,0x44,0x00,0x00,0x0E,0x03,0x10,0x00
Etruria(Priest)  Lv:15,0x84,0x14,0x00,0x7D,0x0A,0x02,0x0A,0x02,0x46,0x4C,0x00,0x00,0x0E,0x03,0x10,0x20
Etruria(Archer)  Lv:11,0x84,0x10,0x00,0x5D,0x0E,0x12,0x0E,0x12,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:12,0x84,0x10,0x00,0x65,0x10,0x12,0x10,0x12,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:13,0x84,0x10,0x00,0x6D,0x0A,0x0E,0x0A,0x0E,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:13,0x84,0x10,0x00,0x6D,0x0E,0x0E,0x0E,0x0E,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:13,0x84,0x10,0x00,0x6D,0x0F,0x0A,0x0F,0x0A,0x2E,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:13,0x84,0x10,0x00,0x6D,0x12,0x0A,0x12,0x0A,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Shaman)  Lv:13,0x84,0x1C,0x00,0x6D,0x0C,0x0E,0x0C,0x0E,0x3F,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Shaman)  Lv:13,0x84,0x1C,0x00,0x6D,0x10,0x0E,0x10,0x0E,0x3F,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Shaman)  Lv:14,0x84,0x1C,0x00,0x75,0x14,0x15,0x14,0x15,0x3F,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Shaman)  Lv:13,0x84,0x1C,0x00,0x6D,0x04,0x13,0x04,0x13,0x41,0x00,0x00,0x00,0x03,0x03,0x01,0x00
Etruria(Sniper)  Lv:2,0x84,0x12,0x00,0x15,0x15,0x12,0x15,0x12,0x29,0x68,0x00,0x00,0x03,0x03,0x29,0x00
