0x67DB04,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Cecilia(Valkyrie)  Lv:1,0x3F,0x25,0x00,0x0A,0x2B,0x09,0x2B,0x09,0x37,0x44,0x00,0x00,0x03,0x03,0x00,0x00
Flaer(Wyvern Lord)  Lv:2,0x55,0x2E,0x00,0x14,0x2C,0x0C,0x2C,0x0C,0x7E,0x00,0x00,0x00,0x00,0x03,0x39,0x20
Bern(Wyvern Rider)  Lv:12,0x86,0x2C,0x55,0x65,0x2B,0x0B,0x2B,0x0B,0x18,0x00,0x00,0x00,0x00,0x06,0x39,0x00
Bern(Wyvern Rider)  Lv:13,0x86,0x2C,0x55,0x6D,0x2B,0x0D,0x2B,0x0D,0x11,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:14,0x86,0x2C,0x55,0x75,0x29,0x0B,0x29,0x0B,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:13,0x86,0x2C,0x55,0x6D,0x29,0x0D,0x29,0x0D,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:12,0x86,0x2C,0x55,0x65,0x2A,0x0E,0x2A,0x0E,0x11,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Paladin)  Lv:3,0x87,0x22,0x55,0x1D,0x24,0x07,0x24,0x07,0x12,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0x87,0x20,0x55,0x7D,0x22,0x07,0x22,0x07,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0x87,0x20,0x55,0x7D,0x20,0x07,0x20,0x07,0x03,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:16,0x87,0x20,0x55,0x85,0x21,0x08,0x21,0x08,0x0C,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Etruria(Cavalier)  Lv:16,0x87,0x20,0x55,0x85,0x22,0x09,0x22,0x09,0x03,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:14,0x87,0x20,0x55,0x75,0x20,0x09,0x20,0x09,0x03,0x68,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Troubadour)  Lv:14,0x87,0x24,0x55,0x75,0x26,0x0A,0x26,0x0A,0x43,0x68,0x00,0x00,0x0E,0x06,0x11,0x00
Etruria(Sniper)  Lv:1,0x87,0x12,0x55,0x0D,0x14,0x10,0x14,0x10,0x29,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Etruria(Archer)  Lv:14,0x87,0x10,0x55,0x75,0x13,0x15,0x13,0x15,0x28,0x00,0x00,0x00,0x00,0x03,0x29,0x00
