0x684B44,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Oates(Sage)  Lv:10,0xB9,0x1A,0x00,0x54,0x0D,0x0C,0x0D,0x0C,0x36,0x39,0x00,0x00,0x03,0x03,0x01,0x20
Bern(Berserker)  Lv:9,0x88,0x33,0xB9,0x4D,0x09,0x09,0x09,0x09,0x25,0x00,0x00,0x00,0x00,0x06,0x21,0x00
Bern(Druid)  Lv:4,0x88,0x1E,0xB9,0x25,0x0C,0x11,0x0C,0x11,0x41,0x46,0x00,0x00,0x0E,0x06,0x00,0x20
Bern(Druid)  Lv:5,0x88,0x1E,0xB9,0x2D,0x0E,0x11,0x0E,0x11,0x40,0x44,0x00,0x00,0x00,0x06,0x00,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x02,0x15,0x02,0x17,0x1E,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x04,0x15,0x04,0x17,0x1C,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mercenary)  Lv:16,0x88,0x02,0xB9,0x85,0x03,0x16,0x03,0x18,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Archer)  Lv:16,0x88,0x10,0xB9,0x85,0x03,0x17,0x03,0x19,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x0D,0x17,0x0D,0x17,0x1C,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x0D,0x19,0x0D,0x19,0x1E,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mercenary)  Lv:18,0x88,0x02,0xB9,0x95,0x0E,0x18,0x0E,0x18,0x0D,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Archer)  Lv:18,0x88,0x10,0xB9,0x95,0x0F,0x17,0x0F,0x17,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Archer)  Lv:18,0x88,0x10,0xB9,0x95,0x0F,0x19,0x0F,0x19,0x2E,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Pirate)  Lv:17,0x88,0x32,0xB9,0x8D,0x17,0x17,0x17,0x17,0x1E,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:17,0x88,0x32,0xB9,0x8D,0x17,0x19,0x17,0x19,0x1E,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:17,0x88,0x32,0xB9,0x8D,0x19,0x18,0x19,0x18,0x24,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:17,0x88,0x2C,0xB9,0x8D,0x1B,0x17,0x1B,0x17,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:18,0x88,0x2C,0xB9,0x95,0x1B,0x19,0x1B,0x19,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Pirate)  Lv:18,0x88,0x32,0xB9,0x95,0x15,0x08,0x15,0x08,0x1E,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mercenary)  Lv:18,0x88,0x02,0xB9,0x95,0x17,0x08,0x17,0x08,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Pirate)  Lv:18,0x88,0x32,0xB9,0x95,0x19,0x08,0x19,0x08,0x1E,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Wyvern Rider)  Lv:16,0x88,0x2C,0xB9,0x85,0x16,0x06,0x16,0x06,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:16,0x88,0x2C,0xB9,0x85,0x18,0x06,0x18,0x06,0x1A,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:15,0x88,0x32,0xB9,0x7D,0x09,0x0C,0x09,0x0C,0x1E,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x08,0x0D,0x08,0x0D,0x1C,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Mercenary)  Lv:17,0x88,0x02,0xB9,0x8D,0x09,0x0E,0x09,0x0E,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Archer)  Lv:16,0x88,0x10,0xB9,0x85,0x08,0x0F,0x08,0x0F,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Pirate)  Lv:17,0x88,0x32,0xB9,0x8D,0x0B,0x09,0x0B,0x09,0x1E,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Pirate)  Lv:16,0x88,0x32,0xB9,0x85,0x0D,0x08,0x0D,0x08,0x1C,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Archer)  Lv:17,0x88,0x10,0xB9,0x8D,0x0F,0x09,0x0F,0x09,0x28,0x00,0x00,0x00,0x00,0x06,0x29,0x00
Bern(Priest)  Lv:16,0x88,0x14,0xB9,0x85,0x09,0x0B,0x09,0x0B,0x46,0x00,0x00,0x00,0x00,0x06,0x11,0x00
Bern(Sage)  Lv:3,0x88,0x1A,0xB9,0x1D,0x0D,0x0E,0x0D,0x0E,0x39,0x36,0x46,0x00,0x00,0x03,0x01,0x20
