0x67E710,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:16,0x01,0x01,0x00,0x81,0x02,0x13,0x02,0x13,0x0B,0x01,0x65,0x04,0x00,0x00,0x00,0x00
Barthe(Knight)  Lv:18,0x08,0x0C,0x01,0x91,0x02,0x11,0x02,0x11,0x19,0x10,0x16,0x68,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:15,0x09,0x0C,0x01,0x79,0x06,0x12,0x06,0x12,0x12,0x10,0x16,0x18,0x00,0x00,0x00,0x00
Klein(Sniper)  Lv:10,0x0F,0x12,0x01,0x51,0x01,0x12,0x01,0x12,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Fir(Swordmaster)  Lv:5,0x16,0x09,0x01,0x29,0x03,0x12,0x03,0x12,0x0E,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
ｍwｅｎｄｏlｙｎ(Knight)  Lv:16,0x0A,0x0D,0x01,0x81,0x04,0x12,0x04,0x12,0x15,0x10,0x16,0x68,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:19,0x02,0x24,0x01,0x99,0x05,0x13,0x05,0x13,0x43,0x51,0x4A,0x52,0x00,0x00,0x00,0x00
Shanna(Falcoknight)  Lv:15,0x31,0x2B,0x01,0x79,0x01,0x14,0x01,0x14,0x11,0x16,0x10,0x12,0x00,0x00,0x00,0x00
Lugh(Sage)  Lv:14,0x25,0x1A,0x01,0x71,0x03,0x14,0x03,0x14,0x33,0x34,0x36,0x37,0x00,0x00,0x00,0x00
Sue(Nmd Trooper)  Lv:12,0x05,0x29,0x01,0x61,0x04,0x14,0x04,0x14,0x27,0x2E,0x28,0x2C,0x00,0x00,0x00,0x00
Elffin(Bard)  Lv:14,0x34,0x36,0x01,0x71,0x02,0x15,0x02,0x15,0x68,0x64,0x00,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x05,0x15,0x05,0x15,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
