0x67EC94,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Narcian(Wyvern Lord)  Lv:10,0x59,0x2E,0x00,0x54,0x0E,0x03,0x0E,0x03,0x7D,0x7C,0x7A,0x00,0x03,0x03,0x01,0x20
Bern(Mage)  Lv:16,0x8E,0x18,0x00,0x85,0x0F,0x03,0x0F,0x03,0x37,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bern(Mage)  Lv:17,0x8E,0x18,0x00,0x8D,0x0D,0x03,0x0D,0x03,0x37,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Bern(Manakete)  Lv:9,0x8E,0x38,0x00,0x4D,0x1B,0x03,0x1B,0x03,0x53,0x00,0x00,0x00,0x03,0x03,0x01,0x00
Bern(Manakete)  Lv:8,0x8E,0x38,0x00,0x45,0x07,0x08,0x07,0x08,0x53,0x7B,0x00,0x00,0x03,0x03,0x01,0x00
Bern(Knight)  Lv:17,0x8E,0x0C,0x00,0x8D,0x0E,0x0A,0x0E,0x0A,0x18,0x00,0x00,0x00,0x00,0x03,0x39,0x00
Bern(Knight)  Lv:18,0x8E,0x0C,0x00,0x95,0x17,0x03,0x17,0x03,0x18,0x00,0x00,0x00,0x00,0x03,0x39,0x00
Bern(Knight)  Lv:17,0x8E,0x0C,0x00,0x8D,0x0C,0x05,0x0C,0x05,0x16,0x11,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:18,0x8E,0x0C,0x00,0x95,0x0B,0x0E,0x0B,0x0E,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:18,0x8E,0x0C,0x00,0x95,0x0C,0x10,0x0C,0x10,0x11,0x16,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Bishop)  Lv:1,0x8E,0x16,0x00,0x0D,0x08,0x0D,0x08,0x0D,0x3D,0x44,0x00,0x00,0x00,0x00,0x09,0x00
Bern(Bishop)  Lv:1,0x8E,0x16,0x00,0x0D,0x06,0x06,0x06,0x06,0x3B,0x46,0x00,0x00,0x0E,0x03,0x09,0x00
Etruria(Paladin)  Lv:1,0x8F,0x22,0x00,0x0D,0x08,0x12,0x08,0x12,0x03,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mage)  Lv:17,0x8F,0x18,0x00,0x8D,0x07,0x13,0x07,0x13,0x36,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mage)  Lv:17,0x8F,0x18,0x00,0x8D,0x09,0x13,0x09,0x13,0x36,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mage)  Lv:16,0x8F,0x18,0x00,0x85,0x11,0x0D,0x11,0x0D,0x36,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mage)  Lv:16,0x8F,0x18,0x00,0x85,0x14,0x10,0x14,0x10,0x37,0x7B,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Mage)  Lv:17,0x8F,0x18,0x00,0x8D,0x1D,0x17,0x1D,0x17,0x39,0x68,0x00,0x00,0x03,0x03,0x01,0x00
Etruria(Mercenary)  Lv:18,0x8F,0x02,0x00,0x95,0x1B,0x0D,0x1B,0x0D,0x0C,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Mercenary)  Lv:18,0x8F,0x02,0x00,0x95,0x07,0x11,0x07,0x11,0x0A,0x00,0x00,0x00,0x00,0x00,0x31,0x00
Etruria(Mercenary)  Lv:18,0x8F,0x02,0x00,0x95,0x09,0x11,0x09,0x11,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mercenary)  Lv:18,0x8F,0x02,0x00,0x95,0x11,0x18,0x11,0x18,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Fighter)  Lv:15,0x8F,0x0A,0x00,0x7D,0x10,0x11,0x10,0x11,0x23,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:16,0x8F,0x0A,0x00,0x85,0x19,0x09,0x19,0x09,0x1C,0x20,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:16,0x8F,0x0A,0x00,0x85,0x1B,0x09,0x1B,0x09,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Fighter)  Lv:16,0x8F,0x0A,0x00,0x85,0x1B,0x12,0x1B,0x12,0x1C,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Bishop)  Lv:2,0x8F,0x16,0x00,0x15,0x1C,0x0B,0x1C,0x0B,0x3B,0x44,0x4B,0x00,0x00,0x00,0x09,0x00
Etruria(Bishop)  Lv:1,0x8F,0x16,0x00,0x0D,0x16,0x06,0x16,0x06,0x3B,0x46,0x00,0x00,0x0E,0x03,0x09,0x00
Etruria(Sniper)  Lv:6,0x8F,0x12,0x00,0x35,0x05,0x0D,0x05,0x0D,0x29,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Sniper)  Lv:5,0x8F,0x12,0x00,0x2D,0x05,0x0E,0x05,0x0E,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Douglas(General)  Lv:10,0x0B,0x0E,0x00,0x54,0x03,0x06,0x03,0x06,0x1D,0x00,0x00,0x00,0x08,0x02,0x09,0x00
Roartz(General)  Lv:6,0x61,0x0E,0x00,0x34,0x04,0x07,0x04,0x07,0x12,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Arcardo(Paladin)  Lv:5,0x5E,0x22,0x00,0x2C,0x03,0x08,0x03,0x08,0x12,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Hugh(Mage)  Lv:15,0x27,0x18,0x00,0x7C,0x16,0x0B,0x16,0x0B,0x36,0x6D,0x69,0x00,0x00,0x0B,0x0B,0x00
