0x67EBA4,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:17,0x01,0x01,0x00,0x89,0x0A,0x1E,0x0A,0x1E,0x0B,0x01,0x65,0x04,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:12,0x1F,0x22,0x01,0x61,0x08,0x1D,0x08,0x1D,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:19,0x1B,0x20,0x01,0x99,0x09,0x1D,0x09,0x1D,0x03,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:16,0x09,0x0C,0x01,0x81,0x0B,0x1D,0x0B,0x1D,0x10,0x16,0x12,0x64,0x00,0x00,0x00,0x00
Klein(Sniper)  Lv:5,0x0F,0x12,0x01,0x29,0x0C,0x1E,0x0C,0x1E,0x27,0x29,0x28,0x2B,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:6,0x3D,0x05,0x01,0x31,0x08,0x1F,0x08,0x1F,0x1F,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Cecilia(Valkyrie)  Lv:1,0x3F,0x25,0x01,0x09,0x09,0x1F,0x09,0x1F,0x36,0x34,0x43,0x4A,0x00,0x00,0x00,0x00
Bartre(Warrior)  Lv:2,0x23,0x0B,0x01,0x10,0x0B,0x1F,0x0B,0x1F,0x23,0x1B,0x20,0x26,0x00,0x00,0x00,0x00
Larum(Dancer)  Lv:1,0x2B,0x37,0x01,0x09,0x16,0x1D,0x16,0x1D,0x6A,0x64,0x68,0x00,0x00,0x00,0x00,0x00
Melady(Wyvern Rider)  Lv:12,0x37,0x2D,0x01,0x61,0x18,0x1D,0x18,0x1D,0x11,0x16,0x10,0x12,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:17,0x25,0x18,0x01,0x89,0x15,0x1E,0x15,0x1E,0x33,0x34,0x36,0x37,0x00,0x00,0x00,0x00
Sin(Nomad)  Lv:17,0x04,0x26,0x01,0x89,0x17,0x1E,0x17,0x1E,0x27,0x2E,0x28,0x2C,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:16,0x14,0x34,0x01,0x81,0x16,0x1F,0x16,0x1F,0x0C,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x18,0x1F,0x18,0x1F,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
