0x684E34,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Windham(Bishop)  Lv:12,0xC6,0x16,0x00,0x64,0x0F,0x02,0x0F,0x02,0x3C,0x50,0x00,0x00,0x03,0x03,0x11,0x20
Etruria(Bishop)  Lv:6,0xC7,0x16,0x00,0x35,0x05,0x00,0x05,0x00,0x3D,0x3B,0x46,0x00,0x0E,0x03,0x10,0x00
Etruria(Bishop)  Lv:6,0xC7,0x16,0x00,0x35,0x19,0x00,0x19,0x00,0x3D,0x3C,0x46,0x00,0x0E,0x03,0x10,0x00
Etruria(Knight)  Lv:15,0xC7,0x0C,0xB9,0x7D,0x0B,0x07,0x0B,0x07,0x18,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Knight)  Lv:15,0xC7,0x0C,0xB9,0x7D,0x13,0x07,0x13,0x07,0x12,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Sage)  Lv:4,0xC7,0x1A,0xB9,0x25,0x0F,0x05,0x0F,0x05,0x4B,0x37,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Sage)  Lv:5,0xC7,0x1A,0xB9,0x2D,0x0F,0x0D,0x0F,0x0D,0x39,0x00,0x00,0x00,0x03,0x06,0x01,0x00
Etruria(Mage)  Lv:12,0xC7,0x18,0xB9,0x65,0x05,0x0B,0x05,0x0B,0x37,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mage)  Lv:13,0xC7,0x18,0xB9,0x6D,0x19,0x0B,0x19,0x0B,0x37,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mage)  Lv:14,0xC7,0x18,0xB9,0x75,0x0C,0x05,0x0C,0x05,0x39,0x33,0x00,0x00,0x03,0x03,0x01,0x00
Etruria(Mage)  Lv:13,0xC7,0x18,0xB9,0x6D,0x12,0x05,0x12,0x05,0x39,0x34,0x00,0x00,0x03,0x03,0x01,0x00
Etruria(Mage)  Lv:13,0xC7,0x18,0xB9,0x6D,0x09,0x11,0x09,0x11,0x36,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mage)  Lv:14,0xC7,0x18,0xB9,0x75,0x15,0x11,0x15,0x11,0x36,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Paladin)  Lv:6,0xC7,0x22,0xB9,0x35,0x19,0x11,0x19,0x11,0x12,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0xC7,0x20,0xB9,0x7D,0x1B,0x10,0x1B,0x10,0x1A,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Cavalier)  Lv:13,0xC7,0x20,0xB9,0x6D,0x19,0x14,0x19,0x14,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Cavalier)  Lv:13,0xC7,0x20,0xB9,0x6D,0x1B,0x14,0x1B,0x14,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Archer)  Lv:13,0xC7,0x10,0xB9,0x6D,0x03,0x16,0x03,0x16,0x28,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Archer)  Lv:12,0xC7,0x10,0xB9,0x65,0x1B,0x16,0x1B,0x16,0x28,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Paladin)  Lv:6,0xC7,0x22,0xB9,0x35,0x03,0x12,0x03,0x12,0x12,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Cavalier)  Lv:15,0xC7,0x20,0xB9,0x7D,0x05,0x11,0x05,0x11,0x1A,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Cavalier)  Lv:14,0xC7,0x20,0xB9,0x75,0x05,0x14,0x05,0x14,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Cavalier)  Lv:15,0xC7,0x20,0xB9,0x7D,0x03,0x14,0x03,0x14,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Sniper)  Lv:14,0xC7,0x12,0xB9,0x75,0x09,0x0A,0x09,0x0A,0x2E,0x00,0x00,0x00,0x03,0x03,0x29,0x00
Etruria(Sniper)  Lv:14,0xC7,0x12,0xB9,0x75,0x15,0x0A,0x15,0x0A,0x2E,0x00,0x00,0x00,0x03,0x03,0x29,0x00
Etruria(Mercenary)  Lv:12,0xC7,0x02,0xB9,0x65,0x09,0x17,0x09,0x17,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Mercenary)  Lv:15,0xC7,0x02,0xB9,0x7D,0x15,0x17,0x15,0x17,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Mercenary)  Lv:14,0xC7,0x02,0xB9,0x75,0x0C,0x11,0x0C,0x11,0x03,0x68,0x00,0x00,0x03,0x03,0x00,0x00
Etruria(Mercenary)  Lv:15,0xC7,0x02,0xB9,0x7D,0x12,0x11,0x12,0x11,0x03,0x68,0x00,0x00,0x03,0x03,0x00,0x00
Etruria(Knight)  Lv:14,0xC7,0x0C,0xB9,0x75,0x0B,0x0F,0x0B,0x0F,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Etruria(Knight)  Lv:14,0xC7,0x0C,0xB9,0x75,0x13,0x0F,0x13,0x0F,0x11,0x00,0x00,0x00,0x00,0x03,0x01,0x00
