0x682D60,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Arcardo(Paladin)  Lv:10,0x5E,0x22,0x00,0x54,0x1D,0x12,0x1D,0x12,0x12,0x16,0x00,0x00,0x03,0x03,0x00,0x20
Etruria(Mage)  Lv:15,0xA6,0x18,0x00,0x7D,0x0C,0x05,0x0C,0x05,0x33,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Mage)  Lv:14,0xA6,0x18,0x00,0x75,0x0E,0x03,0x0E,0x03,0x34,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Mage)  Lv:16,0xA6,0x18,0x00,0x85,0x0F,0x06,0x0F,0x06,0x33,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Mage)  Lv:15,0xA6,0x18,0x00,0x7D,0x10,0x02,0x10,0x02,0x36,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Mage)  Lv:17,0xA6,0x18,0x00,0x8D,0x12,0x06,0x12,0x06,0x36,0x00,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Sage)  Lv:4,0xA6,0x1A,0x00,0x25,0x11,0x04,0x11,0x04,0x36,0x44,0x00,0x00,0x00,0x00,0x08,0x00
Etruria(Sage)  Lv:6,0xA6,0x1A,0x00,0x35,0x14,0x01,0x14,0x01,0x39,0x46,0x00,0x00,0x0E,0x03,0x00,0x20
Etruria(Archer)  Lv:17,0xA6,0x10,0x00,0x8D,0x15,0x05,0x15,0x05,0x28,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Etruria(Archer)  Lv:17,0xA6,0x10,0x00,0x8D,0x15,0x12,0x15,0x12,0x28,0x00,0x00,0x00,0x03,0x03,0x29,0x00
Etruria(Cavalier)  Lv:17,0xA6,0x20,0x00,0x8D,0x0B,0x0E,0x0B,0x0E,0x10,0x00,0x00,0x00,0x03,0x03,0x09,0x00
Etruria(Cavalier)  Lv:17,0xA6,0x20,0x00,0x8D,0x0B,0x11,0x0B,0x11,0x10,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Cavalier)  Lv:17,0xA6,0x20,0x00,0x8D,0x0D,0x0E,0x0D,0x0E,0x16,0x00,0x00,0x00,0x00,0x09,0x01,0x00
Etruria(Cavalier)  Lv:16,0xA6,0x20,0x00,0x85,0x0D,0x10,0x0D,0x10,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Sacae(Nomad)  Lv:15,0xA7,0x26,0x00,0x7D,0x10,0x0E,0x10,0x0E,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:16,0xA7,0x26,0x00,0x85,0x10,0x10,0x10,0x10,0x2D,0x00,0x00,0x00,0x00,0x09,0x29,0x00
Sacae(Nomad)  Lv:14,0xA7,0x26,0x00,0x75,0x12,0x0E,0x12,0x0E,0x2D,0x00,0x00,0x00,0x00,0x00,0x29,0x00
Sacae(Nomad)  Lv:16,0xA7,0x26,0x00,0x85,0x12,0x10,0x12,0x10,0x2D,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Sacae(Nmd Trooper)  Lv:4,0xA7,0x28,0x00,0x25,0x13,0x0F,0x13,0x0F,0x2D,0x03,0x00,0x00,0x00,0x03,0x01,0x00
Sacae(Nmd Trooper)  Lv:5,0xA7,0x28,0x00,0x2D,0x15,0x0F,0x15,0x0F,0x2D,0x03,0x00,0x00,0x00,0x09,0x01,0x00
Bern(Wyvern Rider)  Lv:16,0xA8,0x2C,0x00,0x85,0x1B,0x0F,0x1B,0x0F,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:16,0xA8,0x2C,0x00,0x85,0x1B,0x13,0x1B,0x13,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Bern(Wyvern Rider)  Lv:16,0xA8,0x2C,0x00,0x85,0x19,0x03,0x19,0x03,0x1A,0x00,0x00,0x00,0x00,0x09,0x01,0x00
Bern(Wyvern Rider)  Lv:16,0xA8,0x2C,0x00,0x85,0x1B,0x03,0x1B,0x03,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Wyvern Rider)  Lv:13,0xA8,0x2C,0x00,0x6D,0x15,0x0A,0x15,0x0A,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Wyvern Rider)  Lv:13,0xA8,0x2C,0x00,0x6D,0x13,0x0A,0x13,0x0A,0x1A,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Wyvern Rider)  Lv:13,0xA8,0x2C,0x00,0x6D,0x14,0x0C,0x14,0x0C,0x11,0x16,0x00,0x00,0x00,0x03,0x01,0x00
Sacae(Thief)  Lv:17,0xA7,0x34,0x00,0x8D,0x13,0x11,0x13,0x11,0x01,0x67,0x00,0x00,0x06,0x05,0x01,0x00
