0x67FE94,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:20,0x01,0x01,0x00,0xA1,0x13,0x01,0x13,0x01,0x0B,0x01,0x65,0x0A,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:16,0x1F,0x22,0x01,0x81,0x10,0x00,0x10,0x00,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:20,0x1C,0x20,0x01,0xA1,0x11,0x01,0x11,0x01,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:18,0x09,0x0C,0x01,0x91,0x13,0x03,0x13,0x03,0x10,0x16,0x64,0x00,0x00,0x00,0x00,0x00
Melady(Wyvern Rider)  Lv:15,0x37,0x2D,0x01,0x79,0x15,0x03,0x15,0x03,0x11,0x16,0x10,0x68,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:8,0x3D,0x05,0x01,0x41,0x10,0x04,0x10,0x04,0x1F,0x01,0x02,0x03,0x00,0x00,0x00,0x00
Bartre(Warrior)  Lv:5,0x23,0x0B,0x01,0x29,0x16,0x04,0x16,0x04,0x1C,0x1B,0x20,0x00,0x00,0x00,0x00,0x00
Hugh(Mage)  Lv:20,0x27,0x18,0x01,0xA1,0x16,0x00,0x16,0x00,0x33,0x37,0x36,0x34,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:20,0x14,0x34,0x01,0xA1,0x15,0x01,0x15,0x01,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Igrene(Sniper)  Lv:7,0x1E,0x13,0x01,0x39,0x14,0x02,0x14,0x02,0x27,0x29,0x68,0x28,0x00,0x00,0x00,0x00
Cecilia(Valkyrie)  Lv:8,0x3F,0x25,0x01,0x41,0x12,0x02,0x12,0x02,0x36,0x34,0x43,0x68,0x00,0x00,0x00,0x00
Thea(Peg Knight)  Lv:20,0x2E,0x2A,0x01,0xA1,0x11,0x03,0x11,0x03,0x15,0x11,0x16,0x10,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x13,0x00,0x13,0x00,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
