0x683EF4,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roartz(General)  Lv:10,0x61,0x0E,0x00,0x54,0x0F,0x02,0x0F,0x02,0x7E,0x7B,0x00,0x00,0x03,0x03,0x00,0x20
Etruria(Knight)  Lv:20,0xAD,0x0C,0x00,0xA5,0x0C,0x05,0x0C,0x05,0x11,0x16,0x00,0x00,0x00,0x06,0x09,0x00
Etruria(Knight)  Lv:20,0xAD,0x0C,0x00,0xA5,0x0F,0x05,0x0F,0x05,0x1A,0x00,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Knight)  Lv:20,0xAD,0x0C,0x00,0xA5,0x12,0x05,0x12,0x05,0x11,0x16,0x00,0x00,0x00,0x06,0x01,0x00
Etruria(Sage)  Lv:8,0xAD,0x1A,0x00,0x45,0x08,0x0A,0x08,0x0A,0x39,0x00,0x00,0x00,0x00,0x00,0x01,0x00
Etruria(Sage)  Lv:8,0xAD,0x1A,0x00,0x45,0x15,0x0A,0x15,0x0A,0x39,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Etruria(Sage)  Lv:7,0xAD,0x1A,0x00,0x3D,0x04,0x13,0x04,0x13,0x37,0x46,0x7B,0x00,0x0E,0x03,0x29,0x00
Etruria(Sage)  Lv:5,0xAD,0x1A,0x00,0x2D,0x1A,0x13,0x1A,0x13,0x36,0x46,0x50,0x00,0x00,0x00,0x09,0x00
Etruria(Sage)  Lv:4,0xAD,0x1A,0x00,0x25,0x0F,0x07,0x0F,0x07,0x37,0x00,0x00,0x00,0x0E,0x03,0x29,0x00
Etruria(Sage)  Lv:2,0xAD,0x1A,0x00,0x15,0x0F,0x09,0x0F,0x09,0x36,0x00,0x00,0x00,0x00,0x03,0x09,0x00
Etruria(Mage)  Lv:18,0xAD,0x18,0x00,0x95,0x06,0x09,0x06,0x09,0x36,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Etruria(Mage)  Lv:18,0xAD,0x18,0x00,0x95,0x06,0x0D,0x06,0x0D,0x37,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Sacae(Swordmaster)  Lv:8,0xAE,0x08,0x00,0x45,0x07,0x05,0x07,0x05,0x04,0x00,0x00,0x00,0x00,0x06,0x09,0x00
Sacae(Swordmaster)  Lv:8,0xAE,0x08,0x00,0x45,0x15,0x05,0x15,0x05,0x0E,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Sacae(Swordmaster)  Lv:8,0xAE,0x08,0x00,0x45,0x04,0x0E,0x04,0x0E,0x03,0x00,0x00,0x00,0x00,0x00,0x09,0x00
Sacae(Swordmaster)  Lv:8,0xAE,0x08,0x00,0x45,0x16,0x0F,0x16,0x0F,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
