0x6815C0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Brunnya(Sage)  Lv:20,0x63,0x1B,0x00,0xA4,0x05,0x01,0x05,0x01,0x35,0x39,0x63,0x00,0x00,0x03,0x0A,0x20
Manakete(Manakete)  Lv:12,0xB0,0x38,0x00,0x65,0x05,0x04,0x05,0x04,0x53,0x00,0x00,0x00,0x00,0x03,0x0A,0x00
Manakete(Manakete)  Lv:12,0xB0,0x38,0x00,0x65,0x0F,0x09,0x0F,0x09,0x53,0x7B,0x00,0x00,0x00,0x03,0x0A,0x00
Manakete(Manakete)  Lv:12,0xB0,0x38,0x00,0x65,0x01,0x0F,0x01,0x0F,0x53,0x00,0x00,0x00,0x00,0x03,0x0A,0x00
Manakete(Manakete)  Lv:12,0xB0,0x38,0x00,0x65,0x13,0x11,0x13,0x11,0x53,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Lord)  Lv:14,0xB1,0x2E,0x63,0x75,0x0A,0x02,0x0A,0x02,0x19,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x0B,0x03,0x0B,0x03,0x1A,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x0D,0x03,0x0D,0x03,0x11,0x16,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x0E,0x02,0x0E,0x02,0x11,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Lord)  Lv:14,0xB1,0x2E,0x63,0x75,0x15,0x0A,0x15,0x0A,0x12,0x7E,0x00,0x00,0x00,0x03,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x14,0x0B,0x14,0x0B,0x1A,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x16,0x0B,0x16,0x0B,0x11,0x16,0x00,0x00,0x00,0x03,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x15,0x0C,0x15,0x0C,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Lord)  Lv:15,0xB1,0x2E,0x63,0x7D,0x08,0x13,0x08,0x13,0x19,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x08,0x14,0x08,0x14,0x1A,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x09,0x12,0x09,0x12,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x09,0x13,0x09,0x13,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Lord)  Lv:14,0xB1,0x2E,0x63,0x75,0x14,0x01,0x14,0x01,0x12,0x7E,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x13,0x02,0x13,0x02,0x1A,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x15,0x02,0x15,0x02,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x14,0x03,0x14,0x03,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Lord)  Lv:14,0xB1,0x2E,0x63,0x75,0x00,0x1D,0x00,0x1D,0x18,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x01,0x1C,0x01,0x1C,0x1A,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x01,0x1D,0x01,0x1D,0x11,0x16,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x01,0x1E,0x01,0x1E,0x11,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Wyvern Lord)  Lv:14,0xB1,0x2E,0x63,0x75,0x04,0x07,0x04,0x07,0x19,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x03,0x08,0x03,0x08,0x1A,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x05,0x08,0x05,0x08,0x11,0x16,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Wyvern Rider)  Lv:20,0xB1,0x2C,0x63,0xA5,0x05,0x06,0x05,0x06,0x11,0x00,0x00,0x00,0x00,0x06,0x0A,0x00
Bern(Sniper)  Lv:12,0xB1,0x12,0x63,0x65,0x06,0x13,0x06,0x13,0x28,0x00,0x00,0x00,0x03,0x03,0x0A,0x20
Bern(Sniper)  Lv:10,0xB1,0x12,0x63,0x55,0x07,0x11,0x07,0x11,0x28,0x00,0x00,0x00,0x03,0x03,0x0A,0x20
Bern(Sniper)  Lv:10,0xB1,0x12,0x63,0x55,0x0D,0x12,0x0D,0x12,0x28,0x00,0x00,0x00,0x03,0x03,0x0A,0x20
Bern(Sniper)  Lv:12,0xB1,0x12,0x63,0x65,0x06,0x02,0x06,0x02,0x2B,0x00,0x00,0x00,0x0C,0x14,0x0A,0x20
Bern(Sniper)  Lv:12,0xB1,0x12,0x63,0x65,0x04,0x02,0x04,0x02,0x2B,0x00,0x00,0x00,0x0C,0x13,0x0A,0x20
Bern(Druid)  Lv:10,0xB1,0x1E,0x63,0x55,0x04,0x03,0x04,0x03,0x3F,0x46,0x50,0x00,0x0C,0x15,0x0A,0x20
Bern(Druid)  Lv:10,0xB1,0x1E,0x63,0x55,0x05,0x03,0x05,0x03,0x40,0x46,0x7A,0x00,0x0C,0x16,0x0A,0x20
Bern(Druid)  Lv:10,0xB1,0x1E,0x63,0x55,0x06,0x03,0x06,0x03,0x3F,0x46,0x4C,0x00,0x0C,0x17,0x0A,0x20
Bern(Druid)  Lv:10,0xB1,0x1E,0x63,0x55,0x07,0x02,0x07,0x02,0x3F,0x46,0x4C,0x00,0x03,0x03,0x0A,0x20
Bern(Druid)  Lv:10,0xB1,0x1E,0x63,0x55,0x0D,0x08,0x0D,0x08,0x40,0x46,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Druid)  Lv:9,0xB1,0x1E,0x63,0x4D,0x00,0x12,0x00,0x12,0x3F,0x44,0x00,0x00,0x00,0x00,0x0A,0x00
Bern(Druid)  Lv:9,0xB1,0x1E,0x63,0x4D,0x14,0x12,0x14,0x12,0x3F,0x44,0x00,0x00,0x00,0x06,0x0A,0x00
