0x6814B0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:20,0x01,0x01,0x00,0xA1,0x10,0x1E,0x10,0x1E,0x0B,0x01,0x0F,0x0A,0x00,0x00,0x00,0x00
Fae(Manakete)  Lv:10,0x03,0x39,0x01,0x51,0x0F,0x1D,0x0F,0x1D,0x54,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:20,0x1B,0x20,0x01,0xA1,0x0F,0x1F,0x0F,0x1F,0x01,0x10,0x16,0x12,0x00,0x00,0x00,0x00
ｍwｅｎｄｏlｙｎ(Knight)  Lv:20,0x0A,0x0D,0x01,0xA1,0x11,0x1D,0x11,0x1D,0x12,0x10,0x16,0x12,0x00,0x00,0x00,0x00
Elen(Cleric)  Lv:20,0x11,0x15,0x01,0xA1,0x11,0x1F,0x11,0x1F,0x3B,0x44,0x48,0x49,0x00,0x00,0x00,0x00
Raigh(Shaman)  Lv:20,0x2A,0x1C,0x01,0xA1,0x12,0x1E,0x12,0x1E,0x40,0x3F,0x38,0x63,0x00,0x00,0x00,0x00
Echidna(Hero)  Lv:14,0x3D,0x05,0x01,0x71,0x0E,0x1E,0x0E,0x1E,0x1F,0x01,0x02,0x03,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:12,0x21,0x0A,0x01,0x61,0x0D,0x1F,0x0D,0x1F,0x23,0x1B,0x20,0x1D,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:20,0x14,0x34,0x01,0xA1,0x13,0x1D,0x13,0x1D,0x01,0x67,0x00,0x00,0x00,0x00,0x00,0x00
Thea(Peg Knight)  Lv:20,0x2E,0x2A,0x01,0xA1,0x13,0x1F,0x13,0x1F,0x15,0x11,0x16,0x10,0x00,0x00,0x00,0x00
Dorothy(Archer)  Lv:16,0x0E,0x11,0x01,0x81,0x14,0x1C,0x14,0x1C,0x27,0x29,0x2B,0x28,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:20,0x02,0x24,0x01,0xA1,0x14,0x1E,0x14,0x1E,0x4B,0x49,0x43,0x4A,0x00,0x00,0x00,0x00
Melady(Wyvern Rider)  Lv:20,0x37,0x2D,0x01,0xA1,0x0C,0x1E,0x0C,0x1E,0x12,0x01,0x10,0x16,0x00,0x00,0x00,0x00
Ogier(Mercenary)  Lv:18,0x19,0x02,0x01,0x91,0x0D,0x1D,0x0D,0x1D,0x07,0x1C,0x01,0x04,0x00,0x00,0x00,0x00
Sin(Nomad)  Lv:20,0x04,0x26,0x01,0xA1,0x15,0x1F,0x15,0x1F,0x29,0x01,0x2E,0x2D,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x15,0x1D,0x15,0x1D,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
