0x67A2AC,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:3,0x01,0x01,0x00,0x19,0x03,0x13,0x03,0x13,0x0B,0x01,0x68,0x00,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:1,0x1F,0x22,0x01,0x09,0x01,0x13,0x01,0x13,0x10,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:3,0x1B,0x20,0x01,0x19,0x04,0x12,0x04,0x12,0x01,0x10,0x68,0x00,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:3,0x1C,0x20,0x01,0x19,0x02,0x12,0x02,0x12,0x01,0x16,0x68,0x10,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:3,0x09,0x0C,0x01,0x19,0x05,0x13,0x05,0x13,0x12,0x10,0x10,0x00,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:4,0x0D,0x10,0x01,0x21,0x02,0x14,0x02,0x14,0x27,0x27,0x00,0x00,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:5,0x18,0x02,0x01,0x29,0x06,0x14,0x06,0x14,0x01,0x02,0x0A,0x00,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:2,0x21,0x0A,0x01,0x11,0x04,0x14,0x04,0x14,0x20,0x1B,0x22,0x68,0x00,0x00,0x00,0x00
Lot(Fighter)  Lv:3,0x22,0x0A,0x01,0x19,0x05,0x15,0x05,0x15,0x1B,0x1C,0x00,0x00,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:1,0x31,0x2A,0x01,0x09,0x03,0x15,0x03,0x15,0x16,0x13,0x10,0x00,0x00,0x00,0x00,0x00
Elen(Cleric)  Lv:2,0x11,0x15,0x01,0x11,0x01,0x15,0x01,0x15,0x43,0x68,0x68,0x68,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x09,0x00,0x14,0x00,0x14,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
