0x67AFA0,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:8,0x01,0x01,0x00,0x41,0x0C,0x14,0x0C,0x14,0x0B,0x01,0x0A,0x00,0x00,0x00,0x00,0x00
Chad(Thief)  Lv:2,0x14,0x34,0x01,0x11,0x0B,0x13,0x0C,0x13,0x01,0x05,0x67,0x00,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:7,0x1C,0x20,0x01,0x39,0x0D,0x13,0x0D,0x13,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:7,0x09,0x0C,0x01,0x39,0x0E,0x14,0x0E,0x14,0x10,0x16,0x64,0x00,0x00,0x00,0x00,0x00
Wolt(Archer)  Lv:8,0x0D,0x10,0x01,0x41,0x0D,0x14,0x0D,0x14,0x27,0x68,0x68,0x00,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:7,0x18,0x02,0x01,0x39,0x0B,0x14,0x0B,0x14,0x01,0x02,0x68,0x00,0x00,0x00,0x00,0x00
Rutger(Myrmidon)  Lv:6,0x17,0x06,0x01,0x31,0x0E,0x15,0x0E,0x15,0x01,0x0C,0x00,0x00,0x00,0x00,0x00,0x00
Alen(Cavalier)  Lv:6,0x1B,0x20,0x01,0x31,0x0B,0x15,0x0B,0x15,0x01,0x10,0x68,0x00,0x00,0x00,0x00,0x00
Clarine(Troubadour)  Lv:2,0x02,0x24,0x01,0x11,0x0C,0x16,0x0C,0x16,0x43,0x68,0x00,0x00,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x0D,0x16,0x0D,0x16,0x01,0x10,0x16,0x33,0x00,0x00,0x00,0x00
