0x67C3A4,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Roy(Lord)  Lv:8,0x01,0x01,0x00,0x41,0x13,0x0D,0x13,0x0D,0x0B,0x01,0x65,0x00,0x00,0x00,0x00,0x00
Marcus(Paladin)  Lv:4,0x1F,0x22,0x01,0x21,0x12,0x0C,0x12,0x0C,0x12,0x01,0x10,0x18,0x00,0x00,0x00,0x00
Lance(Cavalier)  Lv:9,0x1C,0x20,0x01,0x49,0x14,0x0C,0x14,0x0C,0x01,0x10,0x16,0x00,0x00,0x00,0x00,0x00
Bors(Knight)  Lv:5,0x09,0x0C,0x01,0x29,0x11,0x0D,0x11,0x0D,0x10,0x16,0x64,0x00,0x00,0x00,0x00,0x00
Dorothy(Archer)  Lv:7,0x0E,0x11,0x01,0x39,0x12,0x0D,0x12,0x0D,0x27,0x29,0x68,0x28,0x00,0x00,0x00,0x00
Dieck(Mercenary)  Lv:11,0x18,0x02,0x01,0x59,0x14,0x0D,0x14,0x0D,0x02,0x01,0x0A,0x03,0x00,0x00,0x00,0x00
Ward(Fighter)  Lv:7,0x21,0x0A,0x01,0x39,0x15,0x0D,0x15,0x0D,0x1B,0x22,0x20,0x1C,0x00,0x00,0x00,0x00
Shanna(Peg Knight)  Lv:8,0x31,0x2A,0x01,0x41,0x11,0x0E,0x11,0x0E,0x13,0x16,0x68,0x00,0x00,0x00,0x00,0x00
Elen(Cleric)  Lv:10,0x11,0x15,0x01,0x51,0x12,0x0E,0x12,0x0E,0x43,0x51,0x4A,0x68,0x00,0x00,0x00,0x00
Noah(Cavalier)  Lv:9,0x3A,0x20,0x01,0x49,0x12,0x0F,0x12,0x0F,0x01,0x11,0x16,0x00,0x00,0x00,0x00,0x00
Lugh(Mage)  Lv:5,0x25,0x18,0x01,0x29,0x14,0x0E,0x14,0x0E,0x33,0x34,0x68,0x00,0x00,0x00,0x00,0x00
Sue(Nomad)  Lv:6,0x05,0x27,0x01,0x31,0x15,0x0E,0x15,0x0E,0x27,0x6B,0x2E,0x6C,0x00,0x00,0x00,0x00
Merlinus(Transporter)  Lv:1,0x42,0x42,0x01,0x08,0x14,0x0F,0x14,0x0F,0x01,0x10,0x16,0x4A,0x00,0x00,0x00,0x00
